2026-04-07T09:49:51.905+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:49:54.051+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:50:00.562+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:50:02.654+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:50:11.454+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:50:13.344+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:50:21.152+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/SPY/1Min — 416740 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:50:21.161+03:00 | INFO | data.ingestion:256 | Alpaca FETCH: SPY 1Min 2026-04-02 → 2026-04-03
2026-04-07T09:50:23.384+03:00 | INFO | data.ingestion:322 | Alpaca API: SPY 1Min → 1 new bars (2026-04-02 → 2026-04-02)
2026-04-07T09:50:25.900+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/SPY/1Min — 416740 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:50:34.702+03:00 | INFO | data.cache:116 | Cache SAVED: alpaca/SPY/1Min — 416740 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:50:34.708+03:00 | INFO | data.cache:154 | Cache APPEND: alpaca/SPY/1Min +0 new bars → 416740 total
2026-04-07T09:50:35.236+03:00 | INFO | reporting.backtest:121 | Backtest START: UVXY | bollinger_rsi | 341,419 bars | lev=1.0x | capital/trade=1000.0
2026-04-07T09:51:45.269+03:00 | INFO | reporting.backtest:128 | Bulk signal generation complete: 341,419 bars
2026-04-07T09:52:00.311+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:52:06.511+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:52:31.364+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:52:39.653+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:52:41.079+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
