	symbol	direction	entry_price	exit_price	outcome	return_pct (%)	PnL ($)	entry_time	exit_time
236	UVXY	Long	140.42	142.1028428	TP hit	1.198435277	11.18435277	2024-10-02T14:20:00.000	2024-10-02T14:22:00.000
235	UVXY	Long	131.95	133.7415	TP hit	1.357711254	12.77711254	2024-10-01T18:57:00.000	2024-10-01T19:05:00.000
234	UVXY	Long	131.5	131.0600726	SL hit	-0.334545584	-4.145455838	2024-10-01T18:15:00.000	2024-10-01T18:16:00.000
233	UVXY	Long	134.1	133.7938878	SL hit	-0.228271563	-3.082715625	2024-10-01T17:57:00.000	2024-10-01T17:58:00.000
232	UVXY	Long	137.7	137.5484399	SL hit	-0.110065423	-1.900654227	2024-10-01T17:34:00.000	2024-10-01T17:35:00.000
231	UVXY	Long	135.22	138.5019177	TP hit	2.427094869	23.47094869	2024-10-01T16:59:00.000	2024-10-01T17:02:00.000
230	UVXY	Long	133.95	133.3563195	SL hit	-0.443210517	-5.232105171	2024-10-01T16:04:00.000	2024-10-01T16:05:00.000
229	UVXY	Long	137.5	136.8788851	SL hit	-0.451719934	-5.317199344	2024-10-01T15:28:00.000	2024-10-01T15:30:00.000
228	UVXY	Long	133.85	137.2057465	TP hit	2.507094847	24.27094847	2024-10-01T14:42:00.000	2024-10-01T14:49:00.000
227	UVXY	Short	118.93	117.3755	TP hit	1.307071387	12.27071387	2024-09-23T15:05:00.000	2024-09-23T15:28:00.000
226	UVXY	Short	116.65	116.9261789	SL hit	-0.236758557	-3.167585571	2024-09-23T14:36:00.000	2024-09-23T14:39:00.000
225	UVXY	Short	120.4	121.0014869	SL hit	-0.499573844	-5.795738443	2024-09-19T14:41:00.000	2024-09-19T14:45:00.000
224	UVXY	Short	122.65	122.9607619	SL hit	-0.253372915	-3.333729149	2024-09-18T18:36:00.000	2024-09-18T18:37:00.000
223	UVXY	Long	126.15	125.563188	SL hit	-0.465170018	-5.451700183	2024-09-18T14:43:00.000	2024-09-18T14:46:00.000
222	UVXY	Short	127.28	125.8606115	TP hit	1.115170084	10.35170084	2024-09-17T18:54:00.000	2024-09-17T18:56:00.000
221	UVXY	Long	119.78	119.3274336	SL hit	-0.37783139	-4.5783139	2024-09-13T14:44:00.000	2024-09-13T15:00:00.000
220	UVXY	Long	126.4	125.9409784	SL hit	-0.363150025	-4.431500253	2024-09-11T19:53:00.000	2024-09-11T19:54:00.000
219	UVXY	Short	129.9	127.9897353	TP hit	1.470565602	13.90565602	2024-09-11T18:54:00.000	2024-09-11T18:58:00.000
218	UVXY	Long	133.95	133.5701983	SL hit	-0.283539911	-3.635399112	2024-09-11T16:31:00.000	2024-09-11T16:32:00.000
217	UVXY	Long	139.8	139.3314254	SL hit	-0.335174933	-4.151749326	2024-09-11T15:37:00.000	2024-09-11T15:38:00.000
216	UVXY	Long	141.48	139.7802523	SL hit	-1.201404967	-12.81404967	2024-09-11T15:06:00.000	2024-09-11T15:36:00.000
215	UVXY	Long	145.95	145.4728587	SL hit	-0.326921053	-4.06921053	2024-09-11T14:58:00.000	2024-09-11T14:59:00.000
214	UVXY	Short	131.95	132.4195175	SL hit	-0.355829831	-4.358298311	2024-09-11T13:35:00.000	2024-09-11T13:36:00.000
213	UVXY	Long	132.6	131.6637312	SL hit	-0.706085077	-7.86085077	2024-09-11T12:02:00.000	2024-09-11T12:19:00.000
212	UVXY	Short	139.16	139.3754877	SL hit	-0.154848912	-2.348489117	2024-09-10T15:40:00.000	2024-09-10T15:45:00.000
211	UVXY	Long	137.03	136.4581349	SL hit	-0.41732841	-4.973284105	2024-09-10T15:11:00.000	2024-09-10T15:15:00.000
210	UVXY	Long	141.2	140.7321718	SL hit	-0.331323053	-4.113230532	2024-09-09T15:50:00.000	2024-09-09T15:51:00.000
