symbol,reaction_date,timing,surprise_pct,peak_vs_prev_close_pct,confirm15_close_from_open_pct,confirm30_close_from_open_pct,selected_branch,total_return_pct,max_drawdown_pct,sharpe_ratio,total_trades,directions,trade_returns_pct,trade_notes
DDOG,2025-08-07,bmo,12.84,15.330530858226998,0.2048430755724695,0.5047918648035665,failed_reclaim,5.799,0.0,11.225,1,Short,6.810585,Entry: Short @ 143.6000 (signal-bar close) | regime=earnings_failed_reclaim_short | SL=155.9401 | TP=none | Short qty floored 6.963788 → 6 (Alpaca integer rule). | fill_diag: close=143.6000 H=145.0000 L=143.6000 range=0.975% | session_exit=eod | Session-close exit
AVGO,2025-09-05,amc,1.6,17.222827342641178,0.1210104371502041,0.4840417486008164,failed_reclaim,1.476,0.0,11.225,1,Short,2.251523,Entry: Short @ 339.7700 (signal-bar close) | regime=earnings_failed_reclaim_short | SL=357.2809 | TP=none | Short qty floored 2.943167 → 2 (Alpaca integer rule). | fill_diag: close=339.7700 H=341.7300 L=339.4300 range=0.677% | session_exit=eod | Session-close exit
APLD,2025-10-10,amc,80.65,38.79111900532859,-0.9986504723346724,-2.213225371120109,short_only,3.661,0.0,9.1652,1,Short,3.768468,Entry: Short @ 36.7603 (signal-bar close) | regime=earnings_short_only_short | SL=38.9825 | TP=none | Short qty floored 27.203260 → 27 (Alpaca integer rule). | fill_diag: close=36.7603 H=37.0500 L=36.7600 range=0.789% | session_exit=eod
PYPL,2025-10-28,bmo,14.47,16.645344705046217,-0.1988071570576566,-0.1562056234024389,failed_reclaim,0.598,0.0,11.225,1,Short,0.722115,Entry: Short @ 77.5500 (signal-bar close) | regime=earnings_failed_reclaim_short | SL=82.5524 | TP=none | Short qty floored 12.894907 → 12 (Alpaca integer rule). | fill_diag: close=77.5500 H=77.6800 L=77.3000 range=0.490% | session_exit=eod | Session-close exit
STX,2025-10-29,amc,8.76,20.43539645671084,0.0,0.1063060764553203,continuation,10.909,0.0,11.225,1,Long,10.988871,Entry: Long @ 235.4200 (signal-bar close) | regime=earnings_continuation_long | SL=226.0032 | TP=none | fill_diag: close=235.4200 H=235.4200 L=235.4200 range=0.000% | session_exit=eod | Session-close exit
AXON,2026-02-25,amc,34.51,27.47722260072287,-0.0759478880644981,-0.0876321785359679,wave_best,-0.521,-1.563,-1.7104,2,Short|Long,2.172023|-1.500000,Entry: Short @ 505.9800 (signal-bar close) | regime=earnings_wave_short | SL=525.1320 | TP=none | Short qty floored 1.976363 → 1 (Alpaca integer rule). | fill_diag: close=505.9800 H=507.9460 L=504.0400 range=0.772% | session_exit=eod || Entry: Long @ 496.9500 (signal-bar close) | regime=earnings_wave_long | SL=489.4957 | TP=none | fill_diag: close=496.9500 H=496.9500 L=494.0695 range=0.580% | session_exit=eod
TXN,2026-04-23,amc,22.76,19.64080520917564,0.3409831040956268,1.09957472893758,continuation,5.804,0.0,11.225,1,Long,5.884303,Entry: Long @ 263.8800 (signal-bar close) | regime=earnings_continuation_long | SL=253.3248 | TP=none | fill_diag: close=263.8800 H=263.8800 L=260.7500 range=1.186% | session_exit=eod | Session-close exit
INTC,2026-04-24,amc,2108.68,28.92403192432753,2.1281654975627173,2.0924979193912785,wave_robust,2.087,0.0,10.1742,2,Short|Long,0.733319|1.567436,Entry: Short @ 83.4016 (signal-bar close) | regime=earnings_wave_robust_short | SL=87.7534 | TP=none | Short qty floored 11.990178 → 11 (Alpaca integer rule). | fill_diag: close=83.4016 H=83.4800 L=83.2600 range=0.264% | session_exit=eod || Entry: Long @ 82.3000 (signal-bar close) | regime=earnings_wave_robust_long | SL=81.0655 | TP=none | fill_diag: close=82.3000 H=82.7988 L=82.3000 range=0.606% | session_exit=eod
NXPI,2026-04-29,amc,2.2,26.52721862419043,0.8026880716819118,0.8026880716819118,continuation,6.613,0.0,11.225,1,Long,6.692593,Entry: Long @ 270.0000 (signal-bar close) | regime=earnings_continuation_long | SL=259.2000 | TP=none | fill_diag: close=270.0000 H=270.0000 L=270.0000 range=0.000% | session_exit=eod | Session-close exit
STX,2026-04-29,amc,16.56,22.28070175438597,-0.4851878453848601,-0.9102768942114704,wave_best,3.636,-0.103,6.854,2,Short|Long,-0.075245|3.822624,Entry: Short @ 664.5000 (signal-bar close) | regime=earnings_wave_short | SL=691.1220 | TP=none | Short qty floored 1.504891 → 1 (Alpaca integer rule). | fill_diag: close=664.5000 H=667.4000 L=664.5000 range=0.436% | session_exit=eod || Entry: Long @ 663.0000 (signal-bar close) | regime=earnings_wave_long | SL=653.0550 | TP=none | fill_diag: close=663.0000 H=663.0000 L=662.7487 range=0.038% | session_exit=eod
QCOM,2026-04-30,amc,3.58,21.420153326403344,-0.6928406466512604,-0.2771362586605042,continuation,-4.08,-4.08,-9.1652,1,Long,-4.000000,Entry: Long @ 172.7200 (signal-bar close) | regime=earnings_continuation_long | SL=165.8112 | TP=none | fill_diag: close=172.7200 H=172.7200 L=172.7200 range=0.000% | session_exit=eod
