variant,trades,long_trades,short_trades,win_rate_pct,mean_return_pct,median_return_pct,compounded_return_pct,max_drawdown_pct,sharpe_ratio,basket,entry_time,exit_time,threshold_pct,breadth_min
ew_entry0930_exit1100_thr15_b55,7,5,2,42.857142857142854,-0.22251794732504462,-0.013293916101950673,-1.561193651260906,-1.7011667450436918,-0.8622515638130831,ew,09:30,1100,0.15,0.55
ew_entry0930_exit1100_thr20_b55,7,5,2,42.857142857142854,-0.22251794732504462,-0.013293916101950673,-1.561193651260906,-1.7011667450436918,-0.8622515638130831,ew,09:30,1100,0.2,0.55
median_entry0930_exit1000_thr30_none,12,6,6,16.666666666666664,-0.1322514421308231,-0.08731142028338461,-1.5767884860406811,-1.6292168763987758,-3.0030336669869064,median,09:30,1000,0.3,
ew_entry0930_exit1600_thr50_none,4,2,2,75.0,-0.3921041447692708,0.4217139040939977,-1.6043272106676665,-2.9863984970714963,-0.453027380119815,ew,09:30,1600,0.5,
ew_entry0930_exit1100_thr10_b60,9,6,3,55.55555555555556,-0.17855077606981312,0.02685207759566495,-1.610249094570393,-1.830590414474298,-0.8806711808116201,ew,09:30,1100,0.1,0.6
median_entry0930_exit1100_thr25_b60,2,0,2,50.0,-0.8051184585161886,-0.8051184585161886,-1.6117837850278316,-1.7011667450436918,-0.898521285762738,median,09:30,1100,0.25,0.6
median_entry0930_exit1100_thr30_b55,2,0,2,50.0,-0.8051184585161886,-0.8051184585161886,-1.6117837850278316,-1.7011667450436918,-0.898521285762738,median,09:30,1100,0.3,0.55
median_entry0930_exit1100_thr30_b60,2,0,2,50.0,-0.8051184585161886,-0.8051184585161886,-1.6117837850278316,-1.7011667450436918,-0.898521285762738,median,09:30,1100,0.3,0.6
median_entry0929_exit1100_thr25_b60,2,0,2,50.0,-0.8059014101045558,-0.8059014101045558,-1.6128318872746017,-1.6733020034627732,-0.9290994452568172,median,09:29,1100,0.25,0.6
median_entry0929_exit1100_thr30_b55,2,0,2,50.0,-0.8059014101045558,-0.8059014101045558,-1.6128318872746017,-1.6733020034627732,-0.9290994452568172,median,09:29,1100,0.3,0.55
median_entry0929_exit1100_thr30_b60,2,0,2,50.0,-0.8059014101045558,-0.8059014101045558,-1.6128318872746017,-1.6733020034627732,-0.9290994452568172,median,09:29,1100,0.3,0.6
ew_entry0930_exit1100_thr10_b55,10,7,3,50.0,-0.16202509007302687,0.0067790807468571385,-1.6233289455086841,-1.830590414474298,-0.8898020195388996,ew,09:30,1100,0.1,0.55
mega_entry0930_exit1100_thr50_b55,51,28,23,33.33333333333333,-0.031459737523683765,-0.08830461321263965,-1.6372242723275532,-3.5392597577038054,-0.5213128425598381,mega,09:30,1100,0.5,0.55
ew_entry0929_exit1100_thr15_b60,6,4,2,33.33333333333333,-0.28021905441410144,-0.11107613469234712,-1.6826072932827008,-1.7430345245399548,-0.9483166276356064,ew,09:29,1100,0.15,0.6
ew_entry0929_exit1100_thr20_b60,6,4,2,33.33333333333333,-0.28021905441410144,-0.11107613469234712,-1.6826072932827008,-1.7430345245399548,-0.9483166276356064,ew,09:29,1100,0.2,0.6
ew_entry0929_exit0945_thr25_none,11,8,3,18.181818181818183,-0.15555593643398113,-0.12823411228036974,-1.6996499313920221,-1.7318443603604794,-2.7173713291430097,ew,09:29,0945,0.25,
