date,all_count,mega_count,ew_gap_pct,median_gap_pct,breadth_up,breadth_down,mega_gap_pct,qqq_prev_close,qqq_pre_929_close,qqq_open_930,qqq_pm_gap_pct,qqq_open_gap_pct,qqq_close_0945,qqq_close_1000,qqq_close_1100,qqq_close_1600,ew_gap_pct_vs_qqq_pm_pct,ew_gap_pct_vs_qqq_open_pct,mega_gap_pct_vs_qqq_pm_pct,mega_gap_pct_vs_qqq_open_pct,median_gap_pct_vs_qqq_pm_pct,median_gap_pct_vs_qqq_open_pct,direction,entry_price,exit_price,gross_return_pct,return_pct,basket_gap_pct,qqq_signal_gap_pct,dislocation_pct
2026-03-23,85,10,-1.5080537232083882,-1.3842142687840675,0.15294117647058825,0.8470588235294118,-1.9053798392183794,586.33,576.97,576.97,-1.5963706445175974,-1.5963706445175974,575.61,575.92,576.341,587.98,0.0883169213092092,0.0883169213092092,-0.30900919470078203,-0.30900919470078203,0.21215637573352986,0.21215637573352986,1,576.97,587.98,1.9082447960899085,1.8282447960899084,-1.3842142687840675,-1.5963706445175974,0.21215637573352986
2026-04-01,73,10,2.304029322509349,2.1955419496795248,0.9315068493150684,0.0684931506849315,2.5163398221130704,566.1899,580.0,580.14,2.439128638642263,2.463855324865394,580.7245,581.4,582.4214,586.835,-0.13509931613291393,-0.15982600235604494,0.07721118347080758,0.052484497247676565,-0.24358668896273805,-0.26831337518586906,-1,580.14,586.835,-1.15403178543112,-1.23403178543112,2.1955419496795248,2.439128638642263,-0.24358668896273805
2026-04-02,73,10,-1.8296391139162527,-1.6410151870349554,0.1095890410958904,0.8904109589041096,-1.9522336733533308,586.835,576.0,576.0,-1.8463452248076662,-1.8463452248076662,575.41,575.21,575.2,582.805,0.016706110891413495,0.016706110891413495,-0.10588844854566459,-0.10588844854566459,0.20533003777271075,0.20533003777271075,1,576.0,582.805,1.1814236111111098,1.1014236111111098,-1.6410151870349554,-1.8463452248076662,0.20533003777271075
2026-04-08,88,10,3.869348756854602,3.8103319254721324,0.9431818181818182,0.056818181818181816,5.078688233587487,582.67,609.25,609.2,4.561758800006865,4.553177613400394,608.48,608.72,608.78,606.1,-0.6924100431522633,-0.6838288565457922,0.5169294335806214,0.5255106201870925,-0.751426874534733,-0.7428456879282619,-1,609.2,606.1,0.5088640840446579,0.42886408404465787,3.8103319254721324,4.561758800006865,-0.751426874534733
2026-04-14,77,10,1.615040550776824,1.6103939788924881,0.8831168831168831,0.1038961038961039,1.4223610291612623,611.55,620.16,620.0,1.407897964189364,1.3817349358188347,619.81,619.75,619.58,625.5456,0.20714258658745988,0.2333056149579893,0.014463064971898199,0.040626093342427616,0.20249601470312406,0.22865904307365348,1,620.0,625.5456,0.8944516129032243,0.8144516129032243,1.6103939788924881,1.407897964189364,0.20249601470312406
2026-04-21,73,10,0.76386056553953,0.4021861178175934,0.7123287671232876,0.2876712328767123,0.5961136220152508,644.655,648.7,648.73,0.6274674050461115,0.6321210569994795,648.88,649.04,649.94,647.14,0.13639316049341843,0.13173950854005045,-0.03135378303086078,-0.03600743498422876,-0.22528128722851815,-0.22993493918188612,-1,648.73,647.14,0.24509426109475818,0.16509426109475817,0.4021861178175934,0.6274674050461115,-0.22528128722851815
2026-04-24,78,10,0.358414374073505,-0.18658679276941093,0.41025641025641024,0.5897435897435898,-0.7445642965416178,655.27,655.79,655.78,0.07935660109572584,0.07783051261311957,,656.2,657.64,662.88,0.2790577729777792,0.28058386146038544,-0.8239208976373437,-0.8223948091547374,-0.26594339386513677,-0.2644173053825305,-1,655.78,662.88,-1.082680167129224,-1.1626801671292242,-0.18658679276941093,0.07935660109572584,-0.26594339386513677
2026-04-28,70,9,-0.5985501011288742,-0.47908548095697,0.2714285714285714,0.7285714285714285,0.08841892114039235,662.325,661.16,661.09,-0.17589551957122307,-0.1864643490733453,660.15,660.8,659.96,654.785,-0.4226545815576511,-0.4120857520555289,0.2643144407116154,0.27488327021373765,-0.30318996138574694,-0.2926211318836247,-1,661.09,654.785,0.953727934169335,0.873727934169335,-0.47908548095697,-0.17589551957122307,-0.30318996138574694
2026-04-29,76,9,1.0080719608865714,0.24317370207483924,0.5921052631578947,0.40789473684210525,0.384856700341966,654.785,659.65,659.61,0.7429919744649016,0.7368830990325037,,658.78,660.05,659.255,0.26507998642166974,0.27118886185406765,-0.3581352741229356,-0.3520263986905377,-0.4998182723900624,-0.49370939695766447,-1,659.61,659.255,0.05381968132684989,-0.026180318673150113,0.24317370207483924,0.7429919744649016,-0.4998182723900624
2026-04-30,81,10,0.4276902619879501,0.13578601317263406,0.5185185185185185,0.48148148148148145,0.7909108157478606,659.255,663.14,663.15,0.5893015600943574,0.5908184238268888,662.82,662.57,662.87,663.0,-0.1616112981064073,-0.16312816183893863,0.20160925565350318,0.20009239192097183,-0.45351554692172336,-0.4550324106542547,-1,663.15,663.0,0.022619316896621555,-0.057380683103378446,0.13578601317263406,0.5893015600943574,-0.45351554692172336
