variant,branch_type,symbol,reaction_date,trade_num,direction,entry_time,exit_time,entry_price,exit_price,return_pct,pnl,outcome,notes
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.00_lexitema_roll,short_plus_conditional_long,STX,2026-04-29,1,Short,2026-04-29T13:02:00,2026-04-29T13:09:00,664.5,667.0,-0.3762227238525207,-4.562227238525207,Counter-signal exit,Entry: Short @ 664.5000 (signal-bar close) | regime=earnings_wave_short | SL=691.1220 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.25_lexittime_20,short_plus_conditional_long,MU,2024-09-26,1,Short,2024-09-26T13:35:00,2024-09-26T13:38:00,110.35,111.26,-0.8246488445854199,-9.0464884458542,Counter-signal exit,Entry: Short @ 110.3500 (signal-bar close) | regime=earnings_wave_short | SL=114.7846 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.25_lexittime_20,short_plus_conditional_long,RBLX,2024-10-31,1,Short,2024-10-31T13:30:00,2024-10-31T13:35:00,49.95,49.69,0.5205205205205308,4.405205205205308,Counter-signal exit,Entry: Short @ 49.9500 (signal-bar close) | regime=earnings_wave_short | SL=54.3139 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.25_lexittime_20,short_plus_conditional_long,RBLX,2024-10-31,2,Long,2024-10-31T13:36:00,2024-10-31T13:40:00,50.0,48.5072,-2.985600000000005,-30.65600000000005,SL hit,Entry: Long @ 50.0000 (signal-bar close) | regime=earnings_wave_long | SL=48.5072 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.25_lexittime_20,short_plus_conditional_long,TEAM,2024-11-01,1,Short,2024-11-01T13:28:00,2024-11-01T13:39:00,225.26,221.24,1.78460445707182,17.0460445707182,Counter-signal exit,Entry: Short @ 225.2600 (signal-bar close) | regime=earnings_wave_short | SL=235.3638 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.25_lexittime_20,short_plus_conditional_long,TEAM,2024-11-01,2,Long,2024-11-01T13:40:00,2024-11-01T13:51:00,220.9,217.5865,-1.5000000000000022,-15.800000000000024,SL hit,Entry: Long @ 220.9000 (signal-bar close) | regime=earnings_wave_long | SL=217.5865 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.25_lexittime_20,short_plus_conditional_long,PLTR,2025-02-04,1,Short,2025-02-04T14:30:00,2025-02-04T14:32:00,100.904,102.85,-1.9285657654800583,-20.085657654800585,Counter-signal exit,Entry: Short @ 100.9040 (signal-bar close) | regime=earnings_wave_short | SL=105.5093 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.25_lexittime_20,short_plus_conditional_long,APP,2025-05-08,1,Short,2025-05-08T13:48:00,2025-05-08T13:51:00,342.93,346.3,-0.9827078412504022,-10.627078412504023,Counter-signal exit,Entry: Short @ 342.9300 (signal-bar close) | regime=earnings_wave_short | SL=358.4378 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.25_lexittime_20,short_plus_conditional_long,APLD,2025-07-31,1,Short,2025-07-31T13:30:00,2025-07-31T13:31:00,12.306,12.876800000000001,-4.638387778319535,-47.18387778319534,SL hit,Entry: Short @ 12.3060 (signal-bar close) | regime=earnings_wave_short | SL=12.8768 | TP=none | session_exit=eod
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.25_lexittime_20,short_plus_conditional_long,IDXX,2025-08-04,1,Short,2025-08-04T13:36:00,2025-08-04T13:38:00,652.01,655.51,-0.5368015827978099,-6.168015827978098,Counter-signal exit,Entry: Short @ 652.0100 (signal-bar close) | regime=earnings_wave_short | SL=684.0799 | TP=none | session_exit=eod
