id,symbol,direction,entry_price,take_profit,stop_loss,leverage,capital_allocated,entry_time,mode,strategy_id,exit_price,exit_time,outcome,leveraged_return_pct,pnl,notes,counter_signal_min_profit_pct,origin,broker_order_id,broker_status,broker_submitted_at,filled_qty,filled_avg_price,filled_at,last_synced_at,window_label,interval,entry_day
11f46ac3-15bb-4dcd-bc80-249ac5bfd78d,GC=F,Long,2371.39990234375,2391.497103923861,2359.3415813956835,1.0,1000.0,2024-05-10 15:00:00,backtest,vwap_rsi,2369.800048828125,2024-05-10 19:00:00,RSI overbought exit,-0.0674645180698456,-1.474645180698456,Entry: Long @ 2371.3999 (signal-bar close) | regime=normal | SL=2359.3416 | TP=2391.4971 | fill_diag: close=2371.3999 H=2373.1001 L=2363.1001 range=0.422%,,,,,,,,,,60m_730d,60m,2024-05-10
e0a55a07-8df0-44e7-9463-0caebba64a61,GC=F,Long,2392.0,2407.2576395038445,2382.845416297693,1.0,968.431078625591,2024-07-29 12:00:00,backtest,vwap_rsi,2389.89990234375,2024-07-29 13:00:00,RSI overbought exit,-0.08779672475961539,-1.6249956314879574,Entry: Long @ 2392.0000 (signal-bar close) | regime=normal | SL=2382.8454 | TP=2407.2576 | fill_diag: close=2392.0000 H=2392.3999 L=2384.1001 range=0.347%,,,,,,,,,,60m_730d,60m,2024-07-29
fb73da1e-d887-4729-8be0-6ec8f7ce3d1d,GC=F,Long,2487.10009765625,2590.7788484597886,2424.892847174127,1.0,966.806082994103,2024-08-01 03:00:00,backtest,vwap_rsi,2478.10009765625,2024-08-01 08:00:00,RSI overbought exit,-0.3618672207234949,-4.271999168711728,Entry: Long @ 2487.1001 (signal-bar close) | regime=normal | SL=2424.8928 | TP=2590.7788 | fill_diag: close=2487.1001 H=2489.0000 L=2483.5000 range=0.221%,,,,,,,,,,60m_730d,60m,2024-08-01
b045ebd7-e8c5-4c52-9391-26b73a1ba100,GC=F,Long,2479.199951171875,2578.895384321015,2419.382691282391,1.0,962.5340838253912,2024-08-01 10:00:00,backtest,vwap_rsi,2419.382691282391,2024-08-02 15:00:00,SL hit,-2.4127646445462916,-23.99370933330692,Entry: Long @ 2479.2000 (signal-bar close) | regime=normal | SL=2419.3827 | TP=2578.8954 | fill_diag: close=2479.2000 H=2480.8000 L=2431.6001 range=1.985%,,,,,,,,,,60m_730d,60m,2024-08-01
d56f4d43-128c-4da6-919f-faaddc57f2db,GC=F,Long,2486.10009765625,2596.6940050021185,2419.743753248729,1.0,938.5403744920843,2024-08-02 20:00:00,backtest,vwap_rsi,2419.743753248729,2024-08-05 01:00:00,SL hit,-2.669093833755048,-25.801355562463424,Entry: Long @ 2486.1001 (signal-bar close) | regime=normal | SL=2419.7438 | TP=2596.6940 | fill_diag: close=2486.1001 H=2486.6001 L=2440.2000 range=1.866%,,,,,,,,,,60m_730d,60m,2024-08-02
5c4df935-89ac-4373-8946-21699797664a,GC=F,Long,2464.89990234375,2576.611803063346,2397.8727619119923,1.0,912.7390189296209,2024-08-05 09:00:00,backtest,vwap_rsi,2397.8727619119923,2024-08-05 12:00:00,SL hit,-2.719264192757888,-25.54997653022652,Entry: Long @ 2464.8999 (signal-bar close) | regime=normal | SL=2397.8728 | TP=2576.6118 | fill_diag: close=2464.8999 H=2469.6001 L=2418.0000 range=2.093%,,,,,,,,,,60m_730d,60m,2024-08-05
8d09bc1a-caa1-4603-a823-7994c3dcdc2f,GC=F,Long,2443.300048828125,2565.50992283984,2369.974124421096,1.0,887.1890423993943,2024-08-05 15:00:00,backtest,vwap_rsi,2448.10009765625,2024-08-06 02:00:00,RSI overbought exit,0.19645760783360347,1.0331991357401886,Entry: Long @ 2443.3000 (signal-bar close) | regime=normal | SL=2369.9741 | TP=2565.5099 | fill_diag: close=2443.3000 H=2452.8000 L=2399.3999 range=2.186%,,,,,,,,,,60m_730d,60m,2024-08-05
bee21c20-0d02-40b5-ab1f-66305c16025d,GC=F,Long,2460.0,2503.0858403656234,2434.148495780626,1.0,888.2222415351346,2024-08-09 06:00:00,backtest,vwap_rsi,2434.148495780626,2024-08-09 08:00:00,SL hit,-1.0508741552591043,-10.044675770783934,Entry: Long @ 2460.0000 (signal-bar close) | regime=normal | SL=2434.1485 | TP=2503.0858 | fill_diag: close=2460.0000 H=2461.1001 L=2418.5000 range=1.732%,,,,,,,,,,60m_730d,60m,2024-08-09
276c5ee2-b83b-4368-9d8f-36864c0ce4de,GC=F,Long,2481.89990234375,2544.8725185300154,2444.1163326319906,1.0,878.1775657643507,2024-08-15 13:00:00,backtest,vwap_rsi,2444.1163326319906,2024-08-15 14:00:00,SL hit,-1.5223647688643256,-14.071607921878298,Entry: Long @ 2481.8999 (signal-bar close) | regime=normal | SL=2444.1163 | TP=2544.8725 | fill_diag: close=2481.8999 H=2488.8000 L=2431.2000 range=2.321%,,,,,,,,,,60m_730d,60m,2024-08-15
41292c78-de42-4990-9f50-c06d7698bde9,GC=F,Long,2493.0,2539.4565005685376,2465.1260996588776,1.0,864.1059578424723,2024-08-16 05:00:00,backtest,vwap_rsi,2465.1260996588776,2024-08-16 06:00:00,SL hit,-1.1180866562824874,-10.352738177052636,Entry: Long @ 2493.0000 (signal-bar close) | regime=normal | SL=2465.1261 | TP=2539.4565 | fill_diag: close=2493.0000 H=2493.8000 L=2489.8000 range=0.160%,,,,,,,,,,60m_730d,60m,2024-08-16
fccbb0bc-54a6-4be3-a406-81c89ce4be0b,GC=F,Long,2532.800048828125,2599.508460857738,2492.775001610357,1.0,853.7532196654197,2024-08-19 11:00:00,backtest,vwap_rsi,2492.775001610357,2024-08-19 12:00:00,SL hit,-1.5802687320811963,-14.174597755241454,Entry: Long @ 2532.8000 (signal-bar close) | regime=normal | SL=2492.7750 | TP=2599.5085 | fill_diag: close=2532.8000 H=2533.5000 L=2487.2000 range=1.828%,,,,,,,,,,60m_730d,60m,2024-08-19
d82ea20a-ce08-481f-86c9-6f9414493286,GC=F,Long,2548.699951171875,2597.4895953277387,2519.426164678357,1.0,839.5786219101782,2024-08-26 01:00:00,backtest,vwap_rsi,2519.426164678357,2024-08-26 07:00:00,SL hit,-1.1485771983500082,-10.314871511009674,Entry: Long @ 2548.7000 (signal-bar close) | regime=normal | SL=2519.4262 | TP=2597.4896 | fill_diag: close=2548.7000 H=2550.8000 L=2509.1001 range=1.636%,,,,,,,,,,60m_730d,60m,2024-08-26
4f96bd39-9be9-41d9-8de5-21a09c7b5022,GC=F,Long,2548.800048828125,2576.7807734060207,2532.0116140813875,1.0,829.2637503991685,2024-08-27 05:00:00,backtest,vwap_rsi,2532.0116140813875,2024-08-27 07:00:00,SL hit,-0.6586799444882465,-6.125605011109729,Entry: Long @ 2548.8000 (signal-bar close) | regime=normal | SL=2532.0116 | TP=2576.7808 | fill_diag: close=2548.8000 H=2548.8000 L=2541.7000 range=0.279%,,,,,,,,,,60m_730d,60m,2024-08-27
ed9a5379-d742-4ad0-908b-464c2cf87834,GC=F,Long,2546.199951171875,2577.136428270054,2527.638064912968,1.0,823.1381453880588,2024-08-27 08:00:00,backtest,vwap_rsi,2527.638064912968,2024-08-27 13:00:00,SL hit,-0.729003480279079,-6.659216243694061,Entry: Long @ 2546.2000 (signal-bar close) | regime=normal | SL=2527.6381 | TP=2577.1364 | fill_diag: close=2546.2000 H=2547.5000 L=2538.5000 range=0.353%,,,,,,,,,,60m_730d,60m,2024-08-27
b27ca2ed-d4da-41de-9570-01afa9aa2e82,GC=F,Long,2550.10009765625,2567.7772025366185,2539.493834728029,1.0,816.4789291443647,2024-08-29 13:00:00,backtest,vwap_rsi,2551.0,2024-08-30 00:00:00,RSI overbought exit,0.03528890276021258,-0.365056687952112,Entry: Long @ 2550.1001 (signal-bar close) | regime=normal | SL=2539.4938 | TP=2567.7772 | fill_diag: close=2550.1001 H=2552.6001 L=2541.3000 range=0.443%,,,,,,,,,,60m_730d,60m,2024-08-29
a02ac632-6aff-4897-b40c-b2f912851beb,GC=F,Long,2547.800048828125,2558.159823209977,2541.584184199014,1.0,816.1138724564125,2024-09-06 08:00:00,backtest,vwap_rsi,2546.199951171875,2024-09-06 11:00:00,RSI overbought exit,-0.06280310956842841,-1.1654359874870748,Entry: Long @ 2547.8000 (signal-bar close) | regime=normal | SL=2541.5842 | TP=2558.1598 | fill_diag: close=2547.8000 H=2548.3999 L=2545.6001 range=0.110%,,,,,,,,,,60m_730d,60m,2024-09-06
b1623bc7-f750-40ed-9d0d-3b3f8dae7068,GC=F,Long,2527.0,2546.2119890763433,2515.472806554194,1.0,814.9484364689255,2024-09-08 22:00:00,backtest,vwap_rsi,2526.0,2024-09-08 23:00:00,RSI overbought exit,-0.03957261574990107,-0.9744551624988148,Entry: Long @ 2527.0000 (signal-bar close) | regime=normal | SL=2515.4728 | TP=2546.2120 | fill_diag: close=2527.0000 H=2527.3000 L=2525.3000 range=0.079%,,,,,,,,,,60m_730d,60m,2024-09-08
19488bf6-6899-4774-b878-cc210230b8ae,GC=F,Long,2526.800048828125,2543.8086036297746,2516.594915947135,1.0,813.9739813064267,2024-09-09 01:00:00,backtest,vwap_rsi,2526.10009765625,2024-09-09 02:00:00,RSI overbought exit,-0.027701090642277854,-0.8766588554113924,Entry: Long @ 2526.8000 (signal-bar close) | regime=normal | SL=2516.5949 | TP=2543.8086 | fill_diag: close=2526.8000 H=2527.8000 L=2523.7000 range=0.162%,,,,,,,,,,60m_730d,60m,2024-09-09
ef883d5d-9ca1-43dc-84eb-65e5250fd067,GC=F,Long,2615.800048828125,2629.742066514651,2607.4348382162093,1.0,813.0973224510153,2024-09-16 13:00:00,backtest,vwap_rsi,2607.4348382162093,2024-09-16 14:00:00,SL hit,-0.31979549108362865,-3.250726433280872,Entry: Long @ 2615.8000 (signal-bar close) | regime=normal | SL=2607.4348 | TP=2629.7421 | fill_diag: close=2615.8000 H=2616.8000 L=2608.6001 range=0.313%,,,,,,,,,,60m_730d,60m,2024-09-16
c5015782-a9d4-40eb-abe8-152e2105acb3,GC=F,Long,2583.5,2604.872924282671,2570.6762454303976,1.0,809.8465960177344,2024-09-19 00:00:00,backtest,vwap_rsi,2580.10009765625,2024-09-19 01:00:00,RSI overbought exit,-0.13160063262047608,-1.7136405204289173,Entry: Long @ 2583.5000 (signal-bar close) | regime=normal | SL=2570.6762 | TP=2604.8729 | fill_diag: close=2583.5000 H=2584.3999 L=2581.8000 range=0.101%,,,,,,,,,,60m_730d,60m,2024-09-19
d03f00c0-0c87-4cb9-98c4-b6794ece3f36,GC=F,Long,2606.39990234375,2629.7541073369794,2592.3873793478124,1.0,808.1329554973055,2024-09-19 14:00:00,backtest,vwap_rsi,2629.7541073369794,2024-09-20 06:00:00,TP hit,0.8960330673826601,6.59463214527481,Entry: Long @ 2606.3999 (signal-bar close) | regime=normal | SL=2592.3874 | TP=2629.7541 | fill_diag: close=2606.3999 H=2610.0000 L=2596.6001 range=0.514%,,,,,,,,,,60m_730d,60m,2024-09-19
3894be25-be26-48a9-95ff-2019cd69c421,GC=F,Long,2645.0,2659.898063691838,2636.061161784897,1.0,814.7275876425803,2024-09-23 01:00:00,backtest,vwap_rsi,2649.300048828125,2024-09-23 06:00:00,RSI overbought exit,0.1625727345226843,0.6727428480271779,Entry: Long @ 2645.0000 (signal-bar close) | regime=normal | SL=2636.0612 | TP=2659.8981 | fill_diag: close=2645.0000 H=2646.5000 L=2640.7000 range=0.219%,,,,,,,,,,60m_730d,60m,2024-09-23
fd2db724-4d2c-4139-a514-449cc6aaba36,GC=F,Long,2649.0,2663.744032334467,2640.15358059932,1.0,815.4003304906074,2024-09-23 11:00:00,backtest,vwap_rsi,2651.0,2024-09-23 19:00:00,RSI overbought exit,0.07550018875047187,-0.03669147580010601,Entry: Long @ 2649.0000 (signal-bar close) | regime=normal | SL=2640.1536 | TP=2663.7440 | fill_diag: close=2649.0000 H=2650.5000 L=2645.8000 range=0.177%,,,,,,,,,,60m_730d,60m,2024-09-23
9fa44ddc-21b6-4300-b5ab-d88f65891590,GC=F,Long,2694.199951171875,2715.0935146990028,2681.6638130555984,1.0,815.3636390148073,2024-09-26 15:00:00,backtest,vwap_rsi,2691.0,2024-09-26 16:00:00,RSI overbought exit,-0.11877185175076344,-1.6207134037721427,Entry: Long @ 2694.2000 (signal-bar close) | regime=normal | SL=2681.6638 | TP=2715.0935 | fill_diag: close=2694.2000 H=2696.0000 L=2685.3000 range=0.397%,,,,,,,,,,60m_730d,60m,2024-09-26
1a67c270-9de3-497c-a62f-164f86bf6a1a,GC=F,Long,2684.5,2703.596847912686,2673.0418912523887,1.0,813.7429256110352,2024-09-29 22:00:00,backtest,vwap_rsi,2683.10009765625,2024-09-30 00:00:00,RSI overbought exit,-0.05214760081020674,-1.0753417529577682,Entry: Long @ 2684.5000 (signal-bar close) | regime=normal | SL=2673.0419 | TP=2703.5968 | fill_diag: close=2684.5000 H=2685.5000 L=2679.3000 range=0.231%,,,,,,,,,,60m_730d,60m,2024-09-29
4723f768-dd3c-4dd8-b894-b72c3aec322b,GC=F,Long,2681.39990234375,2694.19145229854,2673.724972370876,1.0,812.6675838580774,2024-10-04 11:00:00,backtest,vwap_rsi,2673.724972370876,2024-10-04 12:00:00,SL hit,-0.2862284721561121,-2.9762200760714275,Entry: Long @ 2681.3999 (signal-bar close) | regime=normal | SL=2673.7250 | TP=2694.1915 | fill_diag: close=2681.3999 H=2682.6001 L=2677.3000 range=0.198%,,,,,,,,,,60m_730d,60m,2024-10-04
