symbol,reaction_date,trade_num,direction,entry_time,exit_time,entry_price,exit_price,return_pct,pnl,capital_allocated,outcome,notes
MRVL,2024-12-04,1,Long,2024-12-04T10:00:00,2024-12-04T16:00:00,107.19,114.91,7.202164381005689,71.2216438100569,1000.0,Counter-signal exit,Entry: Long @ 107.1900 (signal-bar close) | regime=earnings_positive_continuation_long | SL=102.9024 | TP=none | fill_diag: close=107.1900 H=107.2000 L=107.1900 range=0.009% | session_exit=eod | Session-close exit
NFLX,2025-01-22,1,Long,2025-01-22T10:01:00,2025-01-22T16:00:00,99.52,96.46,-3.074758842443732,-31.547588424437322,1000.0,Counter-signal exit,Entry: Long @ 99.5200 (signal-bar close) | regime=earnings_positive_continuation_long | SL=95.5392 | TP=none | fill_diag: close=99.5200 H=99.5200 L=99.5200 range=0.000% | session_exit=eod | Session-close exit
TEAM,2025-01-31,1,Long,2025-01-31T10:07:00,2025-01-31T16:00:00,315.4,312.5899,-0.8909638554216794,-9.709638554216795,1000.0,Counter-signal exit,Entry: Long @ 315.4000 (signal-bar close) | regime=earnings_positive_continuation_long | SL=302.7840 | TP=none | fill_diag: close=315.4000 H=316.4700 L=315.0600 range=0.447% | session_exit=eod | Session-close exit
ABNB,2025-02-14,1,Long,2025-02-14T10:02:00,2025-02-14T16:00:00,160.73,163.2469,1.565917999128987,14.859179991289869,1000.0,Counter-signal exit,Entry: Long @ 160.7300 (signal-bar close) | regime=earnings_positive_continuation_long | SL=154.3008 | TP=none | fill_diag: close=160.7300 H=160.7300 L=160.3800 range=0.218% | session_exit=eod | Session-close exit
AXON,2025-02-26,1,Long,2025-02-26T11:14:00,2025-02-26T16:00:00,577.0,582.43,0.9410745233968718,8.610745233968718,1000.0,Counter-signal exit,Entry: Long @ 577.0000 (signal-bar close) | regime=earnings_positive_continuation_long | SL=553.9200 | TP=none | fill_diag: close=577.0000 H=577.0000 L=577.0000 range=0.000% | session_exit=eod | Session-close exit
INTU,2025-02-26,1,Long,2025-02-26T10:45:00,2025-02-26T16:00:00,595.1,618.32,3.901865232733999,38.218652327339996,1000.0,Counter-signal exit,Entry: Long @ 595.1000 (signal-bar close) | regime=earnings_positive_continuation_long | SL=571.2960 | TP=none | fill_diag: close=595.1000 H=595.1000 L=595.1000 range=0.000% | session_exit=eod | Session-close exit
MCHP,2025-05-09,1,Long,2025-05-09T10:01:00,2025-05-09T16:00:00,52.72,53.03,0.5880121396054672,5.080121396054672,1000.0,Counter-signal exit,Entry: Long @ 52.7200 (signal-bar close) | regime=earnings_positive_continuation_long | SL=50.6112 | TP=none | fill_diag: close=52.7200 H=52.7300 L=52.1000 range=1.195% | session_exit=eod | Session-close exit
ADSK,2025-08-29,1,Long,2025-08-29T10:14:00,2025-08-29T16:00:00,317.01,310.0086,-2.2085738620232767,-22.885738620232765,1000.0,Counter-signal exit,Entry: Long @ 317.0100 (signal-bar close) | regime=earnings_positive_continuation_long | SL=304.3296 | TP=none | fill_diag: close=317.0100 H=317.0100 L=317.0100 range=0.000% | session_exit=eod | Session-close exit
AVGO,2025-09-05,1,Long,2025-09-05T10:00:00,2025-09-05T16:00:00,332.15,332.12,-0.00903206382657616,-0.8903206382657616,1000.0,Counter-signal exit,Entry: Long @ 332.1500 (signal-bar close) | regime=earnings_positive_continuation_long | SL=318.8640 | TP=none | fill_diag: close=332.1500 H=332.4900 L=332.1500 range=0.102% | session_exit=eod | Session-close exit
STX,2025-10-29,1,Long,2025-10-29T10:20:00,2025-10-29T16:00:00,235.42,261.29,10.988870954039603,109.08870954039604,1000.0,Counter-signal exit,Entry: Long @ 235.4200 (signal-bar close) | regime=earnings_positive_continuation_long | SL=226.0032 | TP=none | fill_diag: close=235.4200 H=235.4200 L=235.4200 range=0.000% | session_exit=eod | Session-close exit
MU,2025-12-18,1,Long,2025-12-18T10:00:00,2025-12-18T16:00:00,247.98,251.87,1.5686748931365493,14.886748931365492,1000.0,Counter-signal exit,Entry: Long @ 247.9800 (signal-bar close) | regime=earnings_positive_continuation_long | SL=238.0608 | TP=none | fill_diag: close=247.9800 H=248.0200 L=247.8000 range=0.089% | session_exit=eod | Session-close exit
STX,2026-01-28,1,Long,2026-01-28T10:00:00,2026-01-28T14:28:00,410.83,394.3968,-4.0,-40.8,1000.0,SL hit,Entry: Long @ 410.8300 (signal-bar close) | regime=earnings_positive_continuation_long | SL=394.3968 | TP=none | fill_diag: close=410.8300 H=410.8400 L=410.8300 range=0.002% | session_exit=eod
RBLX,2026-02-06,1,Long,2026-02-06T10:04:00,2026-02-06T12:11:00,69.14,66.3744,-4.000000000000009,-40.80000000000009,1000.0,SL hit,Entry: Long @ 69.1400 (signal-bar close) | regime=earnings_positive_continuation_long | SL=66.3744 | TP=none | fill_diag: close=69.1400 H=69.1400 L=69.1400 range=0.000% | session_exit=eod
AMAT,2026-02-13,1,Long,2026-02-13T10:00:00,2026-02-13T16:00:00,367.28,361.75,-1.5056632541929789,-15.85663254192979,1000.0,Counter-signal exit,Entry: Long @ 367.2800 (signal-bar close) | regime=earnings_positive_continuation_long | SL=352.5888 | TP=none | fill_diag: close=367.2800 H=367.2800 L=367.2800 range=0.000% | session_exit=eod | Session-close exit
TXN,2026-04-23,1,Long,2026-04-23T10:01:00,2026-04-23T16:00:00,263.88,279.4075,5.884303471274834,58.043034712748344,1000.0,Counter-signal exit,Entry: Long @ 263.8800 (signal-bar close) | regime=earnings_positive_continuation_long | SL=253.3248 | TP=none | fill_diag: close=263.8800 H=263.8800 L=260.7500 range=1.186% | session_exit=eod | Session-close exit
INTC,2026-04-24,1,Long,2026-04-24T10:00:00,2026-04-24T13:17:00,85.87,82.4352,-4.0000000000000115,-40.80000000000011,1000.0,SL hit,Entry: Long @ 85.8700 (signal-bar close) | regime=earnings_positive_continuation_long | SL=82.4352 | TP=none | fill_diag: close=85.8700 H=86.9400 L=85.1100 range=2.131% | session_exit=eod
NXPI,2026-04-29,1,Long,2026-04-29T10:01:00,2026-04-29T16:00:00,270.0,288.07,6.69259259259259,66.12592592592591,1000.0,Counter-signal exit,Entry: Long @ 270.0000 (signal-bar close) | regime=earnings_positive_continuation_long | SL=259.2000 | TP=none | fill_diag: close=270.0000 H=270.0000 L=270.0000 range=0.000% | session_exit=eod | Session-close exit
QCOM,2026-04-30,1,Long,2026-04-30T10:00:00,2026-04-30T13:32:00,172.72,165.81119999999999,-4.000000000000008,-40.80000000000008,1000.0,SL hit,Entry: Long @ 172.7200 (signal-bar close) | regime=earnings_positive_continuation_long | SL=165.8112 | TP=none | fill_diag: close=172.7200 H=172.7200 L=172.7200 range=0.000% | session_exit=eod
