date,all_count,mega_count,ew_gap_pct,median_gap_pct,breadth_up,breadth_down,mega_gap_pct,qqq_prev_close,qqq_pre_929_close,qqq_open_930,qqq_pm_gap_pct,qqq_open_gap_pct,qqq_close_0945,qqq_close_1000,qqq_close_1100,qqq_close_1600,ew_gap_pct_vs_qqq_pm_pct,ew_gap_pct_vs_qqq_open_pct,mega_gap_pct_vs_qqq_pm_pct,mega_gap_pct_vs_qqq_open_pct,median_gap_pct_vs_qqq_pm_pct,median_gap_pct_vs_qqq_open_pct
2025-09-05,49,9,1.1292273654157858,0.7982261640798072,0.8163265306122449,0.1836734693877551,1.8659421300284886,569.92,576.14,576.17,1.0913812464907302,1.0966451431779989,576.21,576.17,576.01,572.37,0.03784611892505563,0.03258222223778695,0.7745608835377584,0.7692969868504898,-0.29315508241092303,-0.2984189790981917
2025-09-08,46,9,0.8071316356611833,0.5324488993824761,0.7608695652173914,0.2391304347826087,0.6681448144386278,572.37,575.78,,0.595768471443292,,575.81,576.11,575.89,578.07,0.21136316421789125,,0.0723763429953358,,-0.06331957206081595,
2025-09-09,44,9,0.22307945593963854,0.2180114789210763,0.5454545454545454,0.45454545454545453,-0.33316275985745764,578.07,577.8,577.84,-0.04670714619338101,-0.0397875689795435,577.9,,577.73,576.28,0.2697866021330195,0.262867024919182,-0.2864556136640766,-0.29337519087791414,0.2647186251144573,0.2577990479006198
2025-09-10,55,9,0.12661938625817729,0.15512594287485637,0.6363636363636364,0.36363636363636365,0.7965043437022928,576.28,579.01,578.9,0.47372804886514075,0.45464010550426703,579.23,,579.78,580.23,-0.3471086626069635,-0.3280207192460898,0.3227762948371521,0.3418642381980258,-0.3186021059902844,-0.29951416262941066
2025-09-11,48,9,0.0835295935278595,0.07054276941260706,0.5416666666666666,0.4583333333333333,-0.19162137069762183,580.23,579.88,579.84,-0.060320907226452114,-0.06721472519517491,579.55,579.75,580.39,582.32,0.1438505007543116,0.1507443187230344,-0.13130046347116972,-0.12440664550244693,0.13086367663905918,0.13775749460778197
2025-09-12,47,9,0.5227692939537072,-0.016724505581799942,0.40425531914893614,0.5319148936170213,0.1377354060968345,582.32,581.96,,-0.06182167880203204,,582.07,,582.41,583.91,0.5845909727557392,,0.19955708489886653,,0.0450971732202321,
2025-09-15,46,9,0.02882509709156881,0.09865535898846423,0.5434782608695652,0.45652173913043476,0.4315598156512674,583.91,584.2,,0.04966518812832277,,584.23,584.24,585.13,588.67,-0.02084009103675396,,0.3818946275229446,,0.04899017086014146,
2025-09-16,46,9,0.6415083049215535,0.5673570671489658,0.6739130434782609,0.32608695652173914,0.8504420968835092,588.67,591.48,591.42,0.4773472403893697,0.4671547726230241,591.21,,591.15,588.44,0.16416106453218382,0.17435353229852946,0.37309485649413954,0.3832873242604852,0.09000982675959612,0.10020229452594176
2025-09-17,48,9,0.2862120033610231,0.2272480891589712,0.6041666666666666,0.3958333333333333,0.12437281766742488,588.44,588.95,588.96,0.0866698388960696,0.0883692475018627,588.81,588.77,588.45,586.04,0.1995421644649535,0.1978427558591604,0.03770297877135527,0.036003570165562174,0.1405782502629016,0.1388788416571085
2025-09-18,60,10,1.3114496846580148,1.1034976065947277,0.8166666666666667,0.18333333333333332,1.625558852981588,586.04,593.69,593.72,1.305371646986564,1.3104907514845499,593.83,593.63,594.01,594.07,0.0060780376714508755,0.0009589331734649598,0.32018720599502415,0.31506810149703823,-0.2018740403918362,-0.20699314488982212
2025-09-19,45,9,0.07369127085909137,-0.034928396786582105,0.4444444444444444,0.5555555555555556,0.18151559243142612,594.07,593.91,593.93,-0.026932853030803283,-0.023566246401951485,593.99,593.59,594.24,595.32,0.10062412388989465,0.09725751726104286,0.2084484454622294,0.2050818388333776,-0.007995543755778822,-0.01136215038463062
2025-09-22,54,9,-0.0845400690520682,-0.01071523260183782,0.5,0.5,0.17157399128833184,595.32,595.5,595.49,0.03023583954846476,0.02855607068465993,595.3,595.35,595.14,598.78,-0.11477590860053297,-0.11309613973672814,0.14133815173986708,0.1430179206036719,-0.04095107215030258,-0.03927130328649775
2025-09-23,51,10,0.47956503941315,0.37178625441103286,0.6274509803921569,0.37254901960784315,0.14117921179623738,598.78,600.93,600.94,0.3590634289722505,0.3607334914325966,601.08,,600.81,599.53,0.12050161044089946,0.1188315479805534,-0.21788421717601314,-0.2195542796363592,0.012722825438782337,0.01105276297843627
2025-09-24,48,9,-0.30429764044684243,-0.33761488188099875,0.3333333333333333,0.6666666666666666,-0.44361812599127787,599.53,598.45,598.47,-0.18014111053658022,-0.17680516404515734,598.33,598.42,598.36,593.02,-0.12415652991026221,-0.1274924764016851,-0.26347701545469765,-0.26681296194612053,-0.15747377134441853,-0.16080971783584141
2025-09-25,51,9,0.16176021362704585,-0.007822277847313597,0.47058823529411764,0.5098039215686274,0.275400315200051,593.02,594.35,594.33,0.22427574112171555,0.22090317358605116,593.57,593.59,593.14,593.34,-0.06251552749466971,-0.059142959959005315,0.05112457407833543,0.05449714161399982,-0.23209801896902915,-0.22872545143336476
2025-09-26,51,9,-0.2531136359027431,-0.28746222451536685,0.3333333333333333,0.6666666666666666,-0.6314162211971761,593.34,591.24,591.3,-0.3539286075437409,-0.3438163616139245,591.63,592.0,591.59,590.87,0.10081497164099779,0.09070272571118138,-0.2774876136534352,-0.2875998595832516,0.06646638302837404,0.05635413709855763
2025-09-29,50,10,1.626457888234805,1.2863613559143339,0.9,0.1,1.3909045386479557,590.87,598.6,598.57,1.3082403912874296,1.3031631323302983,598.52,598.06,598.47,597.58,0.31821749694737544,0.32329475590450674,0.08266414736052607,0.08774140631765737,-0.021879035373095768,-0.016801776415964476
2025-09-30,42,9,-0.15328844592771865,-0.15411510044418542,0.38095238095238093,0.6190476190476191,-0.5343481970069706,597.58,596.56,596.57,-0.17068844338834488,-0.1690150272766866,596.39,596.34,596.54,596.72,0.017399997460626232,0.015726581348967955,-0.3636597536186257,-0.36533316973028396,0.016573342944159464,0.014899926832501187
2025-10-01,57,10,-0.12054396353727359,-0.16890872896181408,0.43859649122807015,0.5614035087719298,-0.10343708303147348,596.72,595.57,595.62,-0.1927202037806608,-0.18434106448586007,595.31,595.31,594.99,599.9,0.0721762402433872,0.06379710094858648,0.08928312074918732,0.0809039814543866,0.023811474818846712,0.015432335524045993
2025-10-02,59,9,1.14425516561029,0.7900259227255901,0.7457627118644068,0.2542372881355932,0.888702597786728,599.9,603.85,603.8,0.6584430738456382,0.6501083513918982,603.77,604.03,604.22,603.22,0.4858120917646518,0.4941468142183918,0.23025952394108984,0.23859424639482985,0.13158284887995197,0.13991757133369198
2025-10-03,50,9,0.6413905482350253,0.687375368752885,0.84,0.16,0.4534649791688088,603.22,606.01,606.04,0.462517821027153,0.46749113093065287,606.1,606.37,605.79,605.2,0.17887272720787228,0.17389941730437242,-0.009052841858344207,-0.014026151761844075,0.22485754772573197,0.2198842378222321
2025-10-06,55,9,0.07177333485732636,0.10279280134104507,0.5272727272727272,0.4727272727272727,0.0935479448226337,605.2,604.85,604.82,-0.05783212161268869,-0.06278916060806772,604.94,,605.84,606.76,0.12960545647001503,0.13456249546539406,0.1513800664353224,0.15633710543070142,0.16062492295373376,0.1655819619491128
