symbol,reaction_date,timing,surprise_pct,gap_pct,confirm5_close_from_open_pct,confirm15_close_from_open_pct,confirm30_close_from_open_pct,peak_vs_prev_close_pct,total_return_pct,max_drawdown_pct,sharpe_ratio,total_trades,directions,trade_returns_pct,trade_notes
MCHP,2025-05-09,amc,5.3,7.582349285270351,0.0,0.4814172925091453,1.521278644328894,16.780609073958974,0.508,0.0,11.225,1,Long,0.588012,Entry: Long @ 52.7200 (signal-bar close) | regime=earnings_positive_continuation_long | SL=50.6112 | TP=none | fill_diag: close=52.7200 H=52.7300 L=52.1000 range=1.195% | session_exit=eod | Session-close exit
ADSK,2025-08-29,amc,7.01,9.023991744775971,0.0,0.015774861181228,0.015774861181228,12.288244904978928,-2.289,-2.289,-11.225,1,Long,-2.208574,Entry: Long @ 317.0100 (signal-bar close) | regime=earnings_positive_continuation_long | SL=304.3296 | TP=none | fill_diag: close=317.0100 H=317.0100 L=317.0100 range=0.000% | session_exit=eod | Session-close exit
AVGO,2025-09-05,amc,1.6,9.10321153909628,0.2359703524428935,0.1210104371502041,0.4840417486008164,17.222827342641178,-0.089,-0.089,-11.225,1,Long,-0.009032,Entry: Long @ 332.1500 (signal-bar close) | regime=earnings_positive_continuation_long | SL=318.8640 | TP=none | fill_diag: close=332.1500 H=332.4900 L=332.1500 range=0.102% | session_exit=eod | Session-close exit
STX,2025-10-29,amc,8.76,7.104795737122549,0.0,0.0,0.1063060764553203,20.43539645671084,10.909,0.0,11.225,1,Long,10.988871,Entry: Long @ 235.4200 (signal-bar close) | regime=earnings_positive_continuation_long | SL=226.0032 | TP=none | fill_diag: close=235.4200 H=235.4200 L=235.4200 range=0.000% | session_exit=eod | Session-close exit
MU,2025-12-18,amc,20.58,8.84611989052706,0.0892205369454224,0.1784410738908226,0.5677670532889811,16.284099938200768,1.489,0.0,11.225,1,Long,1.568675,Entry: Long @ 247.9800 (signal-bar close) | regime=earnings_positive_continuation_long | SL=238.0608 | TP=none | fill_diag: close=247.9800 H=248.0200 L=247.8000 range=0.089% | session_exit=eod | Session-close exit
STX,2026-01-28,amc,9.58,6.762967826657906,0.6863468634686454,0.9175891758917532,1.0651906519065113,16.015758371634938,-4.08,-4.08,-9.1652,1,Long,-4.000000,Entry: Long @ 410.8300 (signal-bar close) | regime=earnings_positive_continuation_long | SL=394.3968 | TP=none | fill_diag: close=410.8300 H=410.8400 L=410.8300 range=0.002% | session_exit=eod
RBLX,2026-02-06,amc,3.14,9.818706882721017,0.8035062089116085,0.6428049671292957,1.0080350620891076,13.90983475052141,-4.08,-4.08,-9.1652,1,Long,-4.000000,Entry: Long @ 69.1400 (signal-bar close) | regime=earnings_positive_continuation_long | SL=66.3744 | TP=none | fill_diag: close=69.1400 H=69.1400 L=69.1400 range=0.000% | session_exit=eod
AMAT,2026-02-13,amc,18.18,9.850933908045988,0.1335186244856734,-0.1280688847107636,0.0790212267364198,12.50299329501916,-1.586,-1.586,-11.225,1,Long,-1.505663,Entry: Long @ 367.2800 (signal-bar close) | regime=earnings_positive_continuation_long | SL=352.5888 | TP=none | fill_diag: close=367.2800 H=367.2800 L=367.2800 range=0.000% | session_exit=eod | Session-close exit
TXN,2026-04-23,amc,22.76,11.082265821168647,0.2643576874449271,0.3409831040956268,1.09957472893758,19.64080520917564,5.804,0.0,11.225,1,Long,5.884303,Entry: Long @ 263.8800 (signal-bar close) | regime=earnings_positive_continuation_long | SL=253.3248 | TP=none | fill_diag: close=263.8800 H=263.8800 L=260.7500 range=1.186% | session_exit=eod | Session-close exit
INTC,2026-04-24,amc,2108.68,24.31274017144547,0.5706812507430881,2.1281654975627173,2.0924979193912785,28.92403192432753,-4.08,-4.08,-9.1652,1,Long,-4.000000,Entry: Long @ 85.8700 (signal-bar close) | regime=earnings_positive_continuation_long | SL=82.4352 | TP=none | fill_diag: close=85.8700 H=86.9400 L=85.1100 range=2.131% | session_exit=eod
