rule_name,family,side,stop_loss_pct,trail_pct,trail_activation_pct,signals,win_rate_pct,mean_return_pct,median_return_pct,compounded_return_pct,score
apld_btc_confirm_long,trail_eod,long,,1.5,1.5,46,82.6086956521739,0.22758344014308454,0.5289801672791805,8.450652444102857,18.1702884738827
apld_btc_confirm_long,trail_eod,long,,2.0,1.0,46,52.17391304347826,0.2632719020067214,0.01868077556710368,9.245441409205535,18.105566653519965
apld_btc_confirm_long,stop_trail_eod,long,2.0,2.5,1.5,46,34.78260869565217,0.2510608838481603,-1.9999999999999907,9.01055388581935,17.330623472461156
apld_btc_confirm_long,trail_eod,long,,1.0,2.0,46,76.08695652173914,0.21324512215742916,1.2454988243143617,7.719654745676152,17.22213112456447
apld_btc_confirm_long,trail_eod,long,,0.75,2.0,46,76.08695652173914,0.2054393004940393,1.4116392678189538,7.405725741433855,16.89649338782709
apld_btc_confirm_long,trail_eod,long,,0.75,0.75,46,91.30434782608695,0.12317560183660253,0.2871740828859326,5.445236969525169,15.26913080706268
apld_btc_confirm_long,trail_eod,long,,0.75,1.5,46,82.6086956521739,0.13149447785400475,1.049972051017134,4.167041341879574,13.742543928225796
apld_btc_confirm_long,trail_eod,long,,1.25,1.5,46,82.6086956521739,0.10613185615900474,0.7373229988361651,2.8157546967539693,12.353213350557693
apld_btc_confirm_long,trail_eod,long,,0.75,0.5,46,50.0,0.06760002017602948,0.009335153034284449,3.00944655862585,11.510846588889894
apld_btc_confirm_long,trail_eod,long,,1.5,0.75,46,50.0,0.06467178573288138,-0.012180932520350352,2.3621632020934147,10.859170880692737
apld_btc_confirm_long,trail_eod,long,,1.0,1.5,46,82.6086956521739,0.07249408697711848,0.8601784677395363,1.3583249751863757,10.84532697521727
apld_btc_confirm_long,trail_eod,long,,1.5,0.5,46,43.47826086956522,0.04155747031049999,-0.2690412008283627,1.4567800271938047,9.723464058746512
apld_btc_confirm_long,trail_eod,long,,1.5,1.0,46,63.04347826086957,0.03835979673416795,0.277052660620547,-0.009357949323884895,8.839486093603453
