symbol,event_time_et,reaction_date,timing,surprise_pct,eps_estimate,reported_eps,prev_close,open_px,close_px,gap_pct,open_to_close_pct,confirm5_close_from_open_pct,confirm15_close_from_open_pct,confirm30_close_from_open_pct,open_to_30m_pct,open_to_60m_pct,first30_high_from_open_pct,first30_low_from_open_pct,afterhours_high_from_prev_close_pct,afterhours_low_from_prev_close_pct,entry5_close,entry15_close,entry30_close
STX,2026-01-27T16:00:00,2026-01-28,amc,9.58,2.84,3.11,380.75,406.5,433.24,6.762967826657906,6.578105781057819,0.6863468634686454,0.9175891758917532,1.0651906519065113,1.0651906519065113,1.7908979089790833,1.4317343173431807,-0.02952029520295607,8.084044648719635,-6.91529875246224,409.29,410.23,410.83
TXN,2026-01-27T16:00:00,2026-01-28,amc,2.46,1.28,1.31,196.12,209.24,210.67,6.689781766265557,0.683425731217735,-0.023896004588042086,0.186388835786655,-0.04301280825845799,-0.04301280825845799,0.411011278914164,0.411011278914164,-0.023896004588042086,9.769528859881692,-4.318784417703448,209.19,209.63,209.15
CMCSA,2026-01-29T07:00:00,2026-01-29,bmo,10.76,0.76,0.84,28.45,28.21,29.48,-0.8435852372583375,4.501949663239979,0.0,0.0,0.0,0.0,-0.14179369018078036,,,-1.1599297012302223,-1.300527240773286,28.21,28.21,28.21
HON,2026-01-29T06:00:00,2026-01-29,bmo,2.14,2.54,2.59,218.69,216.92,224.72,-0.8093648543600618,3.5957956850451778,-0.4563894523326506,-0.4563894523326506,-0.4563894523326506,-0.4563894523326506,-0.4563894523326506,,,,,215.93,215.93,215.93
LRCX,2026-01-28T16:00:00,2026-01-29,amc,8.7,1.17,1.27,238.01,252.71,237.78,6.176211083567917,-5.907957738118796,-0.3323968184875903,-0.3996676031815194,-0.3996676031815194,-0.3996676031815194,-0.5975228522812737,0.07122788967590665,-0.5223378576233673,7.840006722406634,-0.48317297592537223,251.87,251.7,251.7
META,2026-01-28T16:00:00,2026-01-29,amc,8.6,8.18,8.88,671.12,719.37,717.03,7.189474311598532,-0.3252846240460405,0.0027802104619389922,0.0013901052309694961,-0.09591726093666209,-0.09591726093666209,0.23770799449518432,0.13066989171079957,-0.2404882049571233,10.6136011443557,-5.164501132435328,719.39,719.38,718.68
MSFT,2026-01-28T16:00:00,2026-01-29,amc,5.69,3.92,4.14,478.03,452.88,422.95,-5.261176076815255,-6.608814697049992,0.09494788906554419,-0.10819643172584881,-0.5056527115350651,-0.5056527115350651,-0.8611552729199778,0.15677442148029908,-0.6094329623741346,0.8786059452335682,-7.62713637219421,453.31,452.39,450.59
TSLA,2026-01-28T16:00:00,2026-01-29,amc,-29.32,0.34,0.24,433.76,442.74,418.1401,2.0702692733308714,-5.5562858562587465,0.23941816867687482,0.20553823914712943,-0.031621267561088295,-0.031621267561088295,0.17843429552333312,0.3771965487645135,-0.031621267561088295,3.8477499077831157,-2.019549981556623,443.8,443.65,442.6
AAPL,2026-01-29T16:00:00,2026-01-30,amc,6.25,2.67,2.84,255.21,257.9,254.74,1.0540339328396042,-1.225281116711896,-0.031019775106622127,-0.28305544784799075,-0.06591702210156924,-0.06591702210156924,-0.3955021326095265,0.10081426909656077,-0.28305544784799075,5.046824184005305,-0.2155087966772551,257.82,257.17,257.73
CHTR,2026-01-30T07:00:00,2026-01-30,bmo,7.1,9.73,10.42,187.27,194.0,213.2,3.5937416564318925,9.896907216494832,0.0,0.0,0.0,0.0,0.0,,,,,194.0,194.0,194.0
KLAC,2026-01-29T16:00:00,2026-01-30,amc,0.59,8.8,8.85,1613.41,1488.09,1484.54,-7.767399483082427,-0.23856083973414766,1.340644719069406,1.5120053222587249,2.6826334428697196,2.6826334428697196,3.356651815414402,2.6839774476006273,0.0,4.9609212785342915,-8.22791478917324,1508.04,1510.59,1528.01
REGN,2026-01-30T06:00:00,2026-01-30,bmo,6.38,10.75,11.44,748.59,749.4,745.21,0.10820342243416103,-0.5591139578329241,-1.3717640779290052,-1.3717640779290052,-1.3717640779290052,-1.3717640779290052,-1.3717640779290052,,,2.069223473463455,2.069223473463455,739.12,739.12,739.12
WDC,2026-01-29T16:00:00,2026-01-30,amc,10.47,1.93,2.13,271.46,262.88,258.62,-3.1606866573344106,-1.6205112598904448,-0.46028606208154965,-0.19400486914180615,0.7265672550213154,0.7265672550213154,1.8982045039561912,0.7265672550213154,-0.5744065733414461,9.846754586311057,-3.937965077727845,261.67,262.37,264.79
IDXX,2026-02-02T06:00:00,2026-02-02,bmo,4.81,2.94,3.08,676.1475,669.98,641.63,-0.9121530435297065,-4.231469596107351,0.15224335054777605,0.15224335054777605,0.15224335054777605,0.15224335054777605,0.15224335054777605,,,2.0502183325383783,2.048739365301211,671.0,671.0,671.0
NXPI,2026-02-02T16:00:00,2026-02-03,amc,1.18,3.31,3.35,229.98,218.44,213.26,-5.017827637185834,-2.3713605566746065,0.0,0.0,0.0,0.0,0.0,,,2.6002261066179644,-7.435429167753716,218.44,218.44,218.44
PEP,2026-02-03T06:00:00,2026-02-03,bmo,1.02,2.24,2.26,153.23,152.43,157.67,-0.5220909743522739,3.4376435084956913,-0.2033720396247496,-0.37394213737452775,-0.37394213737452775,-0.37394213737452775,-0.4657875746244211,0.0,-0.2033720396247496,-0.593878483325716,-0.7831364615284109,152.12,151.86,151.86
PLTR,2026-02-02T16:00:00,2026-02-03,amc,8.6,0.23,0.25,150.5192,163.01,153.8501,8.298476207686445,-5.619225814367212,0.417152321943437,0.36194098521562523,-0.006134592969753161,-0.006134592969753161,-0.1594994172136599,0.7422857493405433,-0.257652904729766,10.085623628081986,-2.567911601975037,163.69,163.6,163.0
PYPL,2026-02-03T07:00:00,2026-02-03,bmo,-4.4,1.29,1.23,52.8,53.61,42.61,1.5340909090909127,-20.518559970154826,0.22383883603804833,0.24249207237456716,0.18653236336505508,0.18653236336505508,0.2797985450475604,0.6155567991046329,-0.11191941801903527,1.780303030303032,0.6439393939394078,53.73,53.74,53.71
AMD,2026-02-03T16:00:00,2026-02-04,amc,15.98,1.32,1.53,245.8496,223.29,205.83,-9.176179257562357,-7.819427650141064,-0.1030050606834143,-0.12987594607908326,0.1030050606834143,0.1030050606834143,0.7479063101796024,0.1522683505754907,-0.26423037305746133,1.4848102254386486,-10.19688459936482,223.06,223.0,223.52
AMGN,2026-02-03T16:00:00,2026-02-04,amc,11.94,4.73,5.29,341.24,339.62,355.24,-0.4747391864963091,4.599257994228845,0.026500206112700653,0.026500206112700653,0.026500206112700653,0.026500206112700653,0.2591131264354285,,,1.2190833431016124,-4.2492087680225055,339.71,339.71,339.71
CTSH,2026-02-04T06:00:00,2026-02-04,bmo,2.02,1.32,1.35,76.29,75.72,76.2,-0.7471490365709932,0.6339144215530945,-2.033808769149492,-2.033808769149492,-2.033808769149492,-2.033808769149492,-2.033808769149492,,,,,74.18,74.18,74.18
EA,2026-02-03T16:00:00,2026-02-04,amc,-76.4,1.48,0.35,203.16,201.33,200.26,-0.9007678676904773,-0.5314657527442646,-0.35762181493070866,-0.35762181493070866,-0.35762181493070866,-0.35762181493070866,-0.35762181493070866,,,0.019688915140769758,-1.0090569009647443,200.61,200.61,200.61
GEHC,2026-02-04T06:00:00,2026-02-04,bmo,2.99,1.4,1.44,80.14,80.68,83.53,0.6738208135762536,3.5324739712444098,0.08676251859196515,0.08676251859196515,0.08676251859196515,0.08676251859196515,0.08676251859196515,,,,,80.75,80.75,80.75
MDLZ,2026-02-03T16:00:00,2026-02-04,amc,3.34,0.7,0.72,58.59,56.94,58.85,-2.816180235535082,3.3544081489287114,-0.6849315068493178,-0.6849315068493178,-0.6849315068493178,-0.6849315068493178,-0.6849315068493178,,,1.4166239972691619,-4.574159412869106,56.55,56.55,56.55
ODFL,2026-02-04T07:00:00,2026-02-04,bmo,2.8,1.06,1.09,189.64,187.74,200.51,-1.0018983336848697,6.801960157664855,0.0,0.0,0.0,0.0,0.0,,,,,187.74,187.74,187.74
TTWO,2026-02-03T16:00:00,2026-02-04,amc,-28.56,-0.39,-0.5,210.65,221.0,205.3607,4.913363399003079,-7.076606334841628,0.0,0.0,0.9049773755656076,0.9049773755656076,0.9049773755656076,0.0,0.0,7.761690007120814,-1.91787324946594,221.0,221.0,223.0
ARM,2026-02-04T16:00:00,2026-02-05,amc,5.09,0.41,0.43,105.945,97.57,110.13,-7.905045070555472,12.872809265142982,0.9531618325304914,0.3177206108434971,0.44070923439583076,0.44070923439583076,0.8199241570154836,0.9531618325304914,-0.010249051962685218,2.1143045920053005,-14.578318939072155,98.5,97.88,98.0
GOOG,2026-02-04T16:00:00,2026-02-05,amc,6.78,2.64,2.82,334.08,327.77,318.21,-1.8887691570881215,-2.9166793788327205,0.01830551911401468,-0.38441590139426385,-0.8390029593922543,-0.8390029593922543,-0.7230680050035132,0.24407358818683278,-0.9061231961436267,4.3911637931034475,-7.602969348658995,327.83,326.51,325.02
GOOGL,2026-02-04T16:00:00,2026-02-05,amc,6.78,2.64,2.82,333.19,327.67,316.71,-1.6567123863261202,-3.3448286385693082,-0.054933317056793385,-0.44557023834956855,-0.8941923276467145,-0.8941923276467145,-0.7904293954283381,0.2441480758079706,-0.9277626880703216,4.639995197935098,-7.626279300099048,327.49,326.21,324.74
LIN,2026-02-05T06:00:00,2026-02-05,bmo,0.54,4.18,4.2,474.26,471.65,466.8,-0.5503310420444496,-1.0283048870984746,-0.34135481819144164,-0.34135481819144164,-0.34135481819144164,-0.34135481819144164,-0.34135481819144164,,,-0.742208914941167,-0.742208914941167,470.04,470.04,470.04
ORLY,2026-02-04T16:00:00,2026-02-05,amc,-2.06,0.72,0.71,98.51,93.14,93.18,-5.451223226068425,0.042946102641194805,0.010736525660304252,0.010736525660304252,0.010736525660304252,0.010736525660304252,0.010736525660304252,,,0.5532433255507119,-9.653842249517819,93.15,93.15,93.15
QCOM,2026-02-04T16:00:00,2026-02-05,amc,2.87,3.4,3.5,150.02,131.45,137.07,-12.378349553392898,4.275389882084446,0.1521491061240221,0.48687713959680856,0.0988969189806177,0.0988969189806177,0.4564473183720219,0.5325218714340219,-0.2054012932673932,0.6199173443540706,-12.904946007199047,131.65,132.09,131.58
TRI,2026-02-05T06:00:00,2026-02-05,bmo,0.75,1.06,1.07,93.73,96.38,88.56,2.8272698175610733,-8.113716538700967,0.0,0.0,0.0,0.0,0.0,,,,,96.38,96.38,96.38
XEL,2026-02-05T06:00:00,2026-02-05,bmo,0.06,0.96,0.96,75.97,75.44,74.78,-0.6976438067658353,-0.8748674443266102,0.0,0.0,0.0,0.0,0.0,,,,,75.44,75.44,75.44
AMZN,2026-02-05T16:00:00,2026-02-06,amc,0.22,1.95,1.95,223.25,203.95,204.15,-8.645016797312433,0.09806325079677602,0.8335376317724963,0.46580044128463616,0.5883795047805895,0.5883795047805895,0.6815395930375168,1.0051483206668266,-0.024515812699177353,2.127659574468077,-11.92833146696528,205.65,204.9,205.15
FTNT,2026-02-05T16:00:00,2026-02-06,amc,8.95,0.74,0.81,79.355,81.27,81.46,2.413206477222607,0.2337886058816352,0.0,-0.8736311061892432,-1.070505721668502,-1.070505721668502,-1.2796850006152272,0.0369139904023541,-0.9474590869939625,10.894083548610677,-1.669712053430794,81.27,80.56,80.4
MCHP,2026-02-05T16:00:00,2026-02-06,amc,2.75,0.43,0.44,76.71,76.49,74.17,-0.28679442054491133,-3.0330762191136063,0.07844162635639584,0.07844162635639584,0.07844162635639584,0.07844162635639584,0.2614720878546306,,,2.5681136748794353,-6.6875244427062945,76.55,76.55,76.55
MPWR,2026-02-05T16:00:00,2026-02-06,amc,1.13,4.74,4.79,1135.64,1167.67,1200.3,2.8204360536789874,2.7944539124923784,0.0,0.0,0.0,0.0,0.0,,,11.344264027332596,-0.6947624247120698,1167.67,1167.67,1167.67
MSTR,2026-02-05T16:00:00,2026-02-06,amc,-104.53,-20.99,-42.93,112.8,113.82,126.6101,0.9042553191489278,11.23712879985943,1.0367246529608298,-0.632577754348973,-0.2460024600245858,-0.2460024600245858,0.1581444385872599,1.1597258829731283,-1.1157968722544376,1.8617021276595924,-11.338652482269495,115.0,113.1,113.54
RBLX,2026-02-05T16:00:00,2026-02-06,amc,3.14,-0.46,-0.45,62.33,68.45,66.5464,9.818706882721017,-2.7810080350620825,0.8035062089116085,0.6428049671292957,1.0080350620891076,1.0080350620891076,3.4331628926223434,1.5631848064280307,0.0,23.93710893630676,-3.6419059842772272,69.0,68.89,69.14
TEAM,2026-02-05T16:00:00,2026-02-06,amc,6.63,1.14,1.22,104.23,99.01,94.0,-5.008155041734619,-5.060094939905069,0.49489950510048786,0.49489950510048786,1.1412988587011341,1.1412988587011341,0.5049994950005132,0.9998990001010011,0.0,2.3217883526815752,-15.360260961335515,99.5,99.5,100.14
DDOG,2026-02-10T07:00:00,2026-02-10,bmo,6.33,0.55,0.59,113.11,113.99,131.05,0.7780037131995376,14.966225107465592,0.2719536801473854,0.2719536801473854,0.24563558206860403,0.24563558206860403,0.24563558206860403,0.2719536801473854,0.0,1.2642560339492626,0.3801609053134092,114.3,114.3,114.27
MAR,2026-02-10T07:00:00,2026-02-10,bmo,-1.51,2.62,2.58,326.62,331.33,360.32,1.4420427407997094,8.749585005885386,0.0,0.0,0.0,0.0,0.0,,,,,331.33,331.33,331.33
GILD,2026-02-10T16:00:00,2026-02-11,amc,2.82,1.81,1.86,148.79,141.69,154.52,-4.771826063579542,9.054979179899792,0.0,0.0,0.0,0.0,0.0,,,0.49062436991733627,-8.441427515290012,141.69,141.69,141.69
KHC,2026-02-11T07:00:00,2026-02-11,bmo,9.12,0.61,0.67,24.43,24.54,24.56,0.4502660663119107,0.08149959250203231,0.0,0.0,0.0,0.0,0.04074979625101616,,,0.5321326238231672,0.24559967253376946,24.54,24.54,24.54
SHOP,2026-02-11T07:00:00,2026-02-11,bmo,-5.71,0.51,0.48,128.26,128.87,112.4,0.47559644472165985,-12.78032125397688,-0.28711104213549055,-0.26383176844883005,-0.6673391790176231,-0.6673391790176231,-0.05431830526887449,0.0,-1.0630868316908515,0.8888195852175373,0.01559332605645114,128.5,128.53,128.01
TMUS,2026-02-11T07:00:00,2026-02-11,bmo,-8.92,2.06,1.88,196.88,197.57,204.28,0.3504672897196359,3.3962646150731413,0.0,0.0,0.0,0.0,0.11641443538998875,,,,,197.57,197.57,197.57
AEP,2026-02-12T06:00:00,2026-02-12,bmo,3.6,1.15,1.19,121.45,123.4,127.88,1.6055990119390628,3.6304700162074433,0.0,0.0,0.0,0.0,0.3322528363046917,,,,,123.4,123.4,123.4
ALNY,2026-02-12T08:00:00,2026-02-12,bmo,-16.5,1.5,1.25,321.77,320.01,300.31,-0.5469745470367049,-6.156057623199274,-0.09687197275085602,-0.09687197275085602,-0.09687197275085602,-0.09687197275085602,-0.09687197275085602,,,,,319.7,319.7,319.7
