variant,params_json,overall_compounded_return_pct,overall_triggered_events,overall_total_trades,overall_win_rate_pct,overall_max_drawdown_pct,branch,branch_events,branch_compounded_return_pct,branch_mean_return_pct,branch_win_rate_pct
negative|entry_min_close_from_open_pct=0p25|rebound_from_trough_min=5p0|rebound_impulse_min=0p5|vwap_reclaim_min=0p0,"{""negative"": {""entry_min_close_from_open_pct"": 0.25, ""rebound_from_trough_min"": 5.0, ""rebound_impulse_min"": 0.5, ""vwap_reclaim_min"": 0.0}}",178.6946446420737,35,43,82.85714285714286,-4.079999999999995,negative_rebound,9,4.54413323449947,0.5063333333333333,66.66666666666666
negative|entry_min_close_from_open_pct=0p25|rebound_from_trough_min=5p0|rebound_impulse_min=0p75|vwap_reclaim_min=0p0,"{""negative"": {""entry_min_close_from_open_pct"": 0.25, ""rebound_from_trough_min"": 5.0, ""rebound_impulse_min"": 0.75, ""vwap_reclaim_min"": 0.0}}",178.6946446420737,35,43,82.85714285714286,-4.079999999999995,negative_rebound,9,4.54413323449947,0.5063333333333333,66.66666666666666
negative|entry_min_close_from_open_pct=0p25|rebound_from_trough_min=5p0|rebound_impulse_min=0p5|vwap_reclaim_min=0p25,"{""negative"": {""entry_min_close_from_open_pct"": 0.25, ""rebound_from_trough_min"": 5.0, ""rebound_impulse_min"": 0.5, ""vwap_reclaim_min"": 0.25}}",178.6946446420737,35,43,82.85714285714286,-4.079999999999995,negative_rebound,9,4.54413323449947,0.5063333333333333,66.66666666666666
negative|entry_min_close_from_open_pct=0p25|rebound_from_trough_min=5p0|rebound_impulse_min=0p75|vwap_reclaim_min=0p25,"{""negative"": {""entry_min_close_from_open_pct"": 0.25, ""rebound_from_trough_min"": 5.0, ""rebound_impulse_min"": 0.75, ""vwap_reclaim_min"": 0.25}}",178.6946446420737,35,43,82.85714285714286,-4.079999999999995,negative_rebound,9,4.54413323449947,0.5063333333333333,66.66666666666666
negative|entry_min_close_from_open_pct=0p5|rebound_from_trough_min=5p0|rebound_impulse_min=0p5|vwap_reclaim_min=-0p5,"{""negative"": {""entry_min_close_from_open_pct"": 0.5, ""rebound_from_trough_min"": 5.0, ""rebound_impulse_min"": 0.5, ""vwap_reclaim_min"": -0.5}}",178.249445529227,34,42,82.35294117647058,-4.079999999999995,negative_rebound,8,4.377129826776649,0.5496249999999999,62.5
negative|entry_min_close_from_open_pct=0p5|rebound_from_trough_min=5p0|rebound_impulse_min=0p75|vwap_reclaim_min=-0p5,"{""negative"": {""entry_min_close_from_open_pct"": 0.5, ""rebound_from_trough_min"": 5.0, ""rebound_impulse_min"": 0.75, ""vwap_reclaim_min"": -0.5}}",178.249445529227,34,42,82.35294117647058,-4.079999999999995,negative_rebound,8,4.377129826776649,0.5496249999999999,62.5
negative|entry_min_close_from_open_pct=0p5|rebound_from_trough_min=5p0|rebound_impulse_min=0p5|vwap_reclaim_min=0p0,"{""negative"": {""entry_min_close_from_open_pct"": 0.5, ""rebound_from_trough_min"": 5.0, ""rebound_impulse_min"": 0.5, ""vwap_reclaim_min"": 0.0}}",178.249445529227,34,42,82.35294117647058,-4.079999999999995,negative_rebound,8,4.377129826776649,0.5496249999999999,62.5
negative|entry_min_close_from_open_pct=0p5|rebound_from_trough_min=5p0|rebound_impulse_min=0p75|vwap_reclaim_min=0p0,"{""negative"": {""entry_min_close_from_open_pct"": 0.5, ""rebound_from_trough_min"": 5.0, ""rebound_impulse_min"": 0.75, ""vwap_reclaim_min"": 0.0}}",178.249445529227,34,42,82.35294117647058,-4.079999999999995,negative_rebound,8,4.377129826776649,0.5496249999999999,62.5
negative|entry_min_close_from_open_pct=0p5|rebound_from_trough_min=5p0|rebound_impulse_min=0p5|vwap_reclaim_min=0p25,"{""negative"": {""entry_min_close_from_open_pct"": 0.5, ""rebound_from_trough_min"": 5.0, ""rebound_impulse_min"": 0.5, ""vwap_reclaim_min"": 0.25}}",178.249445529227,34,42,82.35294117647058,-4.079999999999995,negative_rebound,8,4.377129826776649,0.5496249999999999,62.5
negative|entry_min_close_from_open_pct=0p5|rebound_from_trough_min=5p0|rebound_impulse_min=0p75|vwap_reclaim_min=0p25,"{""negative"": {""entry_min_close_from_open_pct"": 0.5, ""rebound_from_trough_min"": 5.0, ""rebound_impulse_min"": 0.75, ""vwap_reclaim_min"": 0.25}}",178.249445529227,34,42,82.35294117647058,-4.079999999999995,negative_rebound,8,4.377129826776649,0.5496249999999999,62.5
negative|entry_min_close_from_open_pct=0p25|rebound_from_trough_min=5p0|rebound_impulse_min=1p0|vwap_reclaim_min=-0p5,"{""negative"": {""entry_min_close_from_open_pct"": 0.25, ""rebound_from_trough_min"": 5.0, ""rebound_impulse_min"": 1.0, ""vwap_reclaim_min"": -0.5}}",177.33246609137052,35,43,80.0,-4.079999999999995,negative_rebound,9,4.033151848126648,0.45211111111111113,55.55555555555556
negative|entry_min_close_from_open_pct=0p25|rebound_from_trough_min=5p0|rebound_impulse_min=1p0|vwap_reclaim_min=0p0,"{""negative"": {""entry_min_close_from_open_pct"": 0.25, ""rebound_from_trough_min"": 5.0, ""rebound_impulse_min"": 1.0, ""vwap_reclaim_min"": 0.0}}",177.33246609137052,35,43,80.0,-4.079999999999995,negative_rebound,9,4.033151848126648,0.45211111111111113,55.55555555555556
negative|entry_min_close_from_open_pct=0p25|rebound_from_trough_min=5p0|rebound_impulse_min=1p0|vwap_reclaim_min=0p25,"{""negative"": {""entry_min_close_from_open_pct"": 0.25, ""rebound_from_trough_min"": 5.0, ""rebound_impulse_min"": 1.0, ""vwap_reclaim_min"": 0.25}}",177.33246609137052,35,43,80.0,-4.079999999999995,negative_rebound,9,4.033151848126648,0.45211111111111113,55.55555555555556
