symbol,direction,regime,entry_time_et,exit_time_et,entry_date_et,entry_weekday,entry_bucket_30m,entry_hour_et,leveraged_return_pct,pnl,hold_minutes,outcome,win
GLD,Long,shock_rebound_long,2024-08-12 08:06:00-04:00,2024-08-14 09:20:00-04:00,2024-08-12,Monday,08:00,8,0.4999778574908067,4.199778574908067,2954.0,Trail stop,1.0
GLD,Long,shock_rebound_long,2024-08-16 08:01:00-04:00,2024-08-16 10:23:00-04:00,2024-08-16,Friday,08:00,8,0.205688033253106,1.25688033253106,142.0,Trail stop,1.0
GLD,Long,shock_rebound_long,2024-08-20 08:01:00-04:00,2024-08-20 11:07:00-04:00,2024-08-20,Tuesday,08:00,8,-0.6537677247997303,-7.337677247997303,186.0,Trail stop,0.0
GLD,Long,shock_rebound_long,2024-09-05 08:04:00-04:00,2024-09-06 09:36:00-04:00,2024-09-05,Thursday,08:00,8,-0.3672730400378409,-4.472730400378409,1532.0,Trail stop,0.0
GLD,Long,spike_momentum_long,2024-09-12 08:50:00-04:00,2024-11-06 06:38:00-05:00,2024-09-12,Thursday,08:30,8,6.750950164410466,66.70950164410466,79128.0,Trail stop,1.0
GLD,Long,shock_rebound_long,2024-11-18 08:01:00-05:00,2024-11-20 09:35:00-05:00,2024-11-18,Monday,08:00,8,1.8000000000000047,17.200000000000045,2974.0,TP hit,1.0
GLD,Long,shock_rebound_long,2024-12-10 08:06:00-05:00,2024-12-12 08:59:00-05:00,2024-12-10,Tuesday,08:00,8,0.7680396520331806,6.880396520331806,2933.0,Trail stop,1.0
GLD,Long,shock_rebound_long,2025-01-02 08:12:00-05:00,2025-01-03 15:49:00-05:00,2025-01-02,Thursday,08:00,8,-0.1355654029213841,-2.1556540292138413,1897.0,Trail stop,0.0
GLD,Long,spike_momentum_long,2025-01-06 06:14:00-05:00,2025-02-27 09:47:00-05:00,2025-01-06,Monday,06:00,6,8.74569567183198,86.6569567183198,75093.0,Trail stop,1.0
GLD,Long,shock_rebound_long,2025-03-03 08:01:00-05:00,2025-03-04 08:00:00-05:00,2025-03-03,Monday,08:00,8,0.8562971342383044,7.762971342383044,1439.0,Trail stop,1.0
GLD,Long,spike_momentum_long,2025-03-04 09:40:00-05:00,2025-04-03 08:31:00-04:00,2025-03-04,Tuesday,09:30,9,5.448119349678168,53.68119349678168,43071.0,Trail stop,1.0
GLD,Long,spike_momentum_long,2025-04-09 07:19:00-04:00,2025-04-09 08:00:00-04:00,2025-04-09,Wednesday,07:00,7,-1.199999999999997,-12.79999999999997,41.0,Trail stop,0.0
GLD,Long,spike_momentum_long,2025-04-09 09:31:00-04:00,2025-04-22 12:22:00-04:00,2025-04-09,Wednesday,09:30,9,10.683536240090609,106.0353624009061,18891.0,Trail stop,1.0
GLD,Long,spike_momentum_long,2025-05-05 04:45:00-04:00,2025-05-08 04:00:00-04:00,2025-05-05,Monday,04:30,4,2.1505276739339045,20.705276739339045,4275.0,Trail stop,1.0
