,symbol,regime,direction,entry_price,exit_price,outcome,return_pct (%),PnL ($),entry_time,exit_time,notes
307,UVXY,normal,Long,96.81,96.53628083826365,SL hit,-0.2827385205416301,-3.627385205416301,2025-02-26T14:48:00.000,2025-02-26T14:49:00.000,Entry: Long @ 96.8100 (next-bar open) | regime=normal | SL=96.5363 | TP=97.9377
306,UVXY,normal,Long,99.1,98.38711195162908,SL hit,-0.7193623091532936,-7.993623091532936,2025-02-25T16:58:00.000,2025-02-25T17:30:00.000,Entry: Long @ 99.1000 (next-bar open) | regime=normal | SL=98.3871 | TP=101.3860
305,UVXY,normal,Long,101.7,101.18629732386614,SL hit,-0.5051157090795086,-5.851157090795086,2025-02-25T16:48:00.000,2025-02-25T16:49:00.000,Entry: Long @ 101.7000 (next-bar open) | regime=normal | SL=101.1863 | TP=102.9900
304,UVXY,normal,Long,101.95,101.15253271632383,SL hit,-0.7822141085592642,-8.622141085592643,2025-02-25T15:43:00.000,2025-02-25T15:44:00.000,Entry: Long @ 101.9500 (next-bar open) | regime=normal | SL=101.1525 | TP=103.9860
303,UVXY,normal,Long,103.1,102.78902176726204,SL hit,-0.3016277718117866,-3.816277718117866,2025-02-25T15:37:00.000,2025-02-25T15:38:00.000,Entry: Long @ 103.1000 (next-bar open) | regime=normal | SL=102.7890 | TP=104.4150
302,UVXY,normal,Long,94.65,94.27337619862125,SL hit,-0.39791209865689986,-4.779120986568999,2025-02-24T16:26:00.000,2025-02-24T16:27:00.000,Entry: Long @ 94.6500 (next-bar open) | regime=normal | SL=94.2734 | TP=96.1602
301,UVXY,normal,Long,95.6,95.1012578867733,SL hit,-0.5216967711576332,-6.016967711576333,2025-02-24T16:20:00.000,2025-02-24T16:25:00.000,Entry: Long @ 95.6000 (next-bar open) | regime=normal | SL=95.1013 | TP=96.9386
300,UVXY,normal,Long,96.9,96.54650231421209,SL hit,-0.36480669327958143,-4.448066932795815,2025-02-24T16:07:00.000,2025-02-24T16:08:00.000,Entry: Long @ 96.9000 (next-bar open) | regime=normal | SL=96.5465 | TP=98.1864
299,UVXY,normal,Long,96.3,98.73175251843391,TP hit,2.5251843389760236,24.45184338976023,2025-02-24T15:15:00.000,2025-02-24T15:52:00.000,Entry: Long @ 96.3000 (next-bar open) | regime=normal | SL=95.5996 | TP=98.7318
298,UVXY,normal,Long,94.2,95.26209800593976,TP hit,1.1274925753076004,10.474925753076004,2025-02-21T23:00:00.000,2025-02-21T23:03:00.000,Entry: Long @ 94.2000 (next-bar open) | regime=normal | SL=93.8345 | TP=95.2621
297,UVXY,normal,Short,88.3,88.66566445516243,SL hit,-0.4141160307615301,-4.941160307615301,2025-02-20T14:58:00.000,2025-02-20T14:59:00.000,Entry: Short @ 88.3000 (next-bar open) | regime=normal | SL=88.6657 | TP=87.1900
296,UVXY,normal,Long,93.91,93.40317372148182,SL hit,-0.5396936199746308,-6.1969361997463075,2025-02-12T14:45:00.000,2025-02-12T14:48:00.000,Entry: Long @ 93.9100 (next-bar open) | regime=normal | SL=93.4032 | TP=95.2332
295,UVXY,normal,Long,97.47,98.6557433042586,TP hit,1.2165212929707685,11.365212929707683,2025-02-04T15:03:00.000,2025-02-04T15:12:00.000,Entry: Long @ 97.4700 (next-bar open) | regime=normal | SL=97.0261 | TP=98.6557
294,UVXY,normal,Long,96.75,96.69077077020084,SL hit,-0.06121884216967202,-1.4121884216967202,2025-02-03T21:37:00.000,2025-02-03T21:38:00.000,Entry: Long @ 96.7500 (next-bar open) | regime=normal | SL=96.6908 | TP=98.4158
293,UVXY,normal,Long,95.75,100.04775574112736,TP hit,4.488517745302727,44.08517745302728,2025-02-03T15:43:00.000,2025-02-03T16:57:00.000,Entry: Long @ 95.7500 (next-bar open) | regime=normal | SL=94.2387 | TP=100.0478
292,UVXY,normal,Long,105.5,105.32890115622152,SL hit,-0.16217899884216172,-2.421789988421617,2025-02-03T15:23:00.000,2025-02-03T15:24:00.000,Entry: Long @ 105.5000 (next-bar open) | regime=normal | SL=105.3289 | TP=108.0630
291,UVXY,normal,Long,102.75,105.87552093476143,TP hit,3.0418695228821657,29.618695228821657,2025-02-03T14:40:00.000,2025-02-03T14:45:00.000,Entry: Long @ 102.7500 (next-bar open) | regime=normal | SL=101.8755 | TP=105.8755
290,UVXY,normal,Long,104.15,103.44870991938485,SL hit,-0.6733462127845915,-7.533462127845915,2025-02-03T14:36:00.000,2025-02-03T14:39:00.000,Entry: Long @ 104.1500 (next-bar open) | regime=normal | SL=103.4487 | TP=106.5650
289,UVXY,normal,Long,93,94.16512641204947,TP hit,1.2528240989779293,11.728240989779295,2025-01-31T19:35:00.000,2025-01-31T19:37:00.000,Entry: Long @ 93.0000 (next-bar open) | regime=normal | SL=92.8043 | TP=94.1651
288,UVXY,normal,Long,97.6,97.0667204090434,SL hit,-0.5463930235211024,-6.263930235211024,2025-01-28T15:00:00.000,2025-01-28T15:01:00.000,Entry: Long @ 97.6000 (next-bar open) | regime=normal | SL=97.0667 | TP=98.9473
287,UVXY,normal,Long,98.25,98.0708467491637,SL hit,-0.18234427566034953,-2.6234427566034952,2025-01-27T21:00:00.000,2025-01-27T21:04:00.000,Entry: Long @ 98.2500 (next-bar open) | regime=normal | SL=98.0708 | TP=99.9905
286,UVXY,normal,Long,99.35,99.02388408829688,SL hit,-0.3282495336719806,-4.0824953367198065,2025-01-27T20:27:00.000,2025-01-27T20:42:00.000,Entry: Long @ 99.3500 (next-bar open) | regime=normal | SL=99.0239 | TP=100.5255
285,UVXY,normal,Long,97.55,96.94576163650295,SL hit,-0.6194140066602217,-6.994140066602217,2025-01-27T19:26:00.000,2025-01-27T19:29:00.000,Entry: Long @ 97.5500 (next-bar open) | regime=normal | SL=96.9458 | TP=99.1105
284,UVXY,normal,Long,98.4,99.93578037620743,TP hit,1.560752414844946,14.80752414844946,2025-01-27T17:03:00.000,2025-01-27T17:09:00.000,Entry: Long @ 98.4000 (next-bar open) | regime=normal | SL=98.0713 | TP=99.9358
283,UVXY,normal,Long,97.8,96.9506744517082,SL hit,-0.8684310309732123,-9.484310309732123,2025-01-27T14:39:00.000,2025-01-27T15:41:00.000,Entry: Long @ 97.8000 (next-bar open) | regime=normal | SL=96.9507 | TP=103.2668
282,UVXY,normal,Long,98.6,98.1257906743892,SL hit,-0.4809425209034489,-5.609425209034489,2025-01-15T14:41:00.000,2025-01-15T15:13:00.000,Entry: Long @ 98.6000 (next-bar open) | regime=normal | SL=98.1258 | TP=100.0063
